 a few seconds|մի քանի վայրկյան
 day| օր
 days| օր
 hour| ժամ
 hours| ժամ
 hr|ժմ
 hrs|ժամ
 lunar day|լուսնային օր
 min|րպե
 mins|րոպե
 minute| րոպե
 minutes| րոպե
%d bought|%d-ն գնվել է
%d day|%d օր
%d days|%d օրեր
%d hour|%d ժամ
%d hours|%d ժամեր
%d minute|%d րոպե
%d minutes|%d րոպեներ
%d more...|%d ավելի
%i active channel|%i ակտիվ ալիք
%i active channels|%i ակտիվ ալիք
%i image|%i պատկեր
%i images|%i պատկեր
%i more today|ևս %i այսօր
%i more...|ևս %i...
%i page|%i էջ
%i pages|%i էջ
%i%% of Full|Լիալուսնի %i%%
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 րոպ)
(in|դյույմ
(in seconds)|(վայրկյաններում)
(No title)|(Անուն չկա)
[ Loading images... ]|[Պատկերների բեռնում... ]
[ Tap here for images load ]|[ Թակեք այստեղ պատկերը բեռնելու համար ]
A few minutes ago|Մի քանի րոպե առաջ
About|   -ի մասին
Above horizon|Հորիզոնից վեր
Activate|Ակտիվացնել
Activation|Ակտիվացում
Activation failed. Check your Internet connection.|Ակտիվացումը ձախողվեց: Ստուգեք Ձեր համացանցի միացումը:
Active Channels|Ակտիվ ալիքներ
Active channels|Ակտիվ ալիքներ
Add|Ավելացնել
Add category|Ավելացնել անվանակարգ
Add city|Ավելացնել քաղաք
Add custom channel|Ավելացնել
Add new city|Ավելացնել նոր քաղաք
Add note|Ավելացնել նշում
Add Panel|Ավելացնել վահանակը
Add to Home screen|Ավելացնել Տան էկրանին
Airplane|Օդանավ
Airplane Mode|Օդանավային ռեժիմ
All day|Ամբողջ օրը
All pictures|Բոլոր նկարները
Allow resizing of all Android widgets|Թույլատրել բոլոր անդրոիդ հարմարանքների չափերի փոփոխումը
An hour ago|Մեկ ժամ առաջ
Android Shortcut|Android-ի դյուրանցում
Android Widget|Android-ի հարմարանք
Anniversary|Տարեդարձ
Appearance|Տեսք
Application|Գործադիր
April|Ապրիլ
Aqua|Ակվա
Aquarius|Ջրհոս
Aries|Խոյ
as of %s|%s-ին
at %s|%s-ում
atm|մթն
Atmospheres|Մթնոլորտ
Atmospheric pressure scale|Մթնոլորտային ճնշման սանդղակ
August|Օգոստոս
Auto|Ինքնաբար
Auto (keyboard only)|Ինքնաբար (միայն ստեղնաշար)
Auto arrange widgets|Ինքնակարգավորման հարմարանքներ
Automatic|Ինքնաբար
Automatic naming|Ինքնաբար անվանում
Backlight|Լուսավորում
Battery|Մարտկոց
Below horizon|Հորիզոնից ներքև
Birthday|Ծնունդ
Birthdays|Ծնունդներ
Black|Սև
Blue|Կապույտ
Bluetooth|Bluetooth
Bookmarks|Էջանիշեր
Bookmarks Folder|Էջանիշերի պանակ
Business|Բիզնես
Buy!|Գնե՛լ
Cache size|Շտեմի չափը
Calculator|Հաշվիչ
Calendar|Օրացույց
Calendar Panel|Օրացույցի վահանակ
Calendar Panel Settings|Օրացույցի վահանակի կարգավորումները
Call|Զանգահարել
Call Log|Զանգերի մատյան
Cancel|Չեղարկել
Cancer|Խեցգետին
Capricorn|Այծեղջյուր
Categories|Անվանակարգեր
Category Name|Անվանակարգի անուն
Celsius (#short)|Ցելսիուս
Change|Փոփոխել
Change City|Փոխել քաղաքը
Change profile|Փոխել պրոֆիլը
Channels list|Ալիքների ցուցակ
Choose Color|Ընտրել գույն
Choose Program|Ընտրել ծրագիր
Choose SPB Widget|Ընտրել SPB հարմարանք
Choose widget|Ընտրել հարմարանքը
Clear|Պարզ է
Clear cache|Մաքրել շտեմը
Clock|Ժամացույց
Cloudy|Ամպամած
Cloudy, hail|Ամպամած, կարկուտ
Cloudy, heavy rain|Ամպամած, առատ անձրև
Cloudy, heavy snow|Ամպամած, առատ ձյուն
Cloudy, rain|Ամպամած, անձրև
Cloudy, rain with snow|Ամպամած, անձրև ձյան հետ
Cloudy, snow|Ամպամած, ձյուն
Cloudy, thunder|Ամպամած, ամպրոպ
Color anaglyph (red/cyan)|Գույնի անագլիֆ (կարմիր/երկնագույն)
Communication|Հաղորդագրություն
Contact|Կոնտակտ
Contacts|Կոնտակտներ
Contacts Folder|Կոնտակտների պանակ
Copyright %s 2007-2011\nSPB Software|Հեղինակային իրավունք՝ %s 2007-2011\nSPB ծրագրաշար
Copyright %s 2007-2012\nSPB Software|Հեղինակային իրավունք՝ %s 2007-2012\nSPB ծրագրաշար
Create Folder|Ստեղծել պանակ
Current|Ընթացիկ
Current city|Տվյալ քաղաքը
Current conditions|Ընթացիկ պայմաններ
Current Conditions|Ընթացիկ պայմաններ
Current skin|Ընթացիկ շապիկ
Day|Ցերեկ
Deal of the Day|Օրվա գործարքը
Deal of the Day Panel|Օրվա գործարքի վահանակ
Deal of the Day Panel Settings|Օրվա գործարքի վահանակի կարգավորումները
Deals|Գործարքներ
December|Դեկտեմբեր
Default|Լռելյայն
Delete note|Ջնջել նշումը
Dew point:|Հալման ջերմաստիճան՝
Diagnostic tools|Ախտորոշման գործիքներ
Disabled|Անջատված է
Discoverable|Հայտնաբերվող
Done|Պատրաստ է
Download Original|Ներբեռնել բնօրինակը
Downloading images|Պատկերների բեռնում
E|ԱՎ
east|արևելք
Edit channel|Խմբագրել ալիքները
Edit note|Խմբագրել նշումը
Edit panels|Խմբագրել վահանակները
Emergency only|Միայն հրատապ օգնության համար
Empty Panel|Ավելացնել դատարկ վահանակ
Enable live wallpapers|Միացնել կենդանի պաստառներ
Enabled|Միացված է
Enter RSS feed title|Մուտքագրել RSS սնման անուն
Enter RSS feed URL|Մուտքագրել RSS սնման հասցե
Entertainment|Զվարճանք
Error|Սխալ
Evening|Երեկո
Every 2 hours|Ամեն 2 ժամ
Every 24 hours|Ամեն 24 ժամ
Every 30 Minutes|Ամեն 30 րոպե
Every 30 minutes|Ամեն 30 րոպե
Every 4 hours|Ամեն 4 ժամ
Every hour|Ամեն ժամ
Exit|Ելնել
Experimental|Փորձնական
Experimental Settings|Փորձնական կարգավորումներ
Experimental settings|Փորձնական կարգավորումներ
Fahrenheit (#short)|Ֆարենհեյթ
Failed to load RSS|Չհաջողվեց բեռնել RSS
Favorite Contacts|Ընտրյալ կոնտակտներ
Favorite contacts|Ընտրյալ կոնտակտներ
February|Փետրվար
Filter|Զտիչ
First day of the week|Շաբաթվա առաջին օրը
First Quarter|Առաջին քառամյակ
Flight|Թռիչք
Folder|Պանակ
Folder Name|Պանակի անուն
Forecast|Եղանակի տեսություն
from forecast|եղանակի տեսությունից
Full Moon|Լիալուսին
Gallery|Պատկերասրահ
Games|Խաղեր
Gemini|Երկվորյակ
Grayscale anaglyph (red/cyan)|Գորշասանդղակի անագլիֆ (կարմիր/երկնագույն)
Green|Կանաչ
G-Sensor|G-սենսոր
Half an hour ago|Կես ժամ առաջ
Hectopascals|Հեկտոպասկալ
Hide Duplicates|Թաքցնել կրկնօրինակները
Hide SIM Contacts|Թաքցնել SIM կոնտակտները
Home|Տնեջ
