 a few seconds| няколко секунди
 day| ден
 days| дни
 hour| час
 hours| часове
 hr| ч
 hrs| ч.
 lunar day| лунно денонощие
 min| мин.
 mins| мин
 minute| минута
 minutes| минути
%d bought|%d купени
%d day|%d ден
%d days|%d дни
%d hour|%d час
%d hours|%d часове
%d minute|%d минута
%d minutes|%d минути
%d more...|%d още...
%i active channel|%i активен канал
%i active channels|%i активни канали
%i image|%i изображение
%i images|%i изображения
%i more today|%i още днес
%i more...|%i още...
%i page|%i страница
%i pages|%i страници
%i%% of Full|%i%% от Пълнолунието
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 мин)
(in|(в
(in seconds)|(в секунди)
(No title)|(Няма заглавие)
[ Loading images... ]|[ Зареждане на изображения... ]
[ Tap here for images load ]|[ Чукни тук за зареждане на изображения ]
A few minutes ago|Преди няколко минути
About|За
Above horizon|Над хоризонта
Activate|Активирай
Activation|Активиране
Activation failed. Check your Internet connection.|Неуспешно активиране. Провери интернет връзката.
Active Channels|Активни канали
Active channels|Активни канали
Add|Добави
Add category|Добавете категория
Add city|Добави град
Add custom channel|Добавете канал по желание
Add new city|Добави нов град
Add note|Добави бележка
Add Panel|Добави панел
Add to Home screen|Добави към Начална страница
Airplane|Самолет
Airplane Mode|Режим самолет
All day|Цял ден
All pictures|Всички снимки
Allow resizing of all Android widgets|Промени размера на всички андроидни устройства
An hour ago|Преди час
Android Shortcut|Пряк път към Android
Android Widget|Притурка Android
Anniversary|Годишнина
Appearance|Вид
Application|Приложение
April|Април
Aqua|Светлозелено
Aquarius|Водолей
Aries|Овен
as of %s|от %s
at %s|в %s
atm|атм
Atmospheres|Атмосфери
Atmospheric pressure scale|Скала Атмосферно налягане
August|Август
Auto|Автоматично
Auto (keyboard only)|Автоматично (само с клавиатурата)
Auto arrange widgets|Автоматично аранжиране на притурките
Automatic|Автоматично
Automatic naming|Автоматично даване на имена
Backlight|Просветка
Battery|Батерия
Below horizon|Под хоризонта
Birthday|Рожден ден
Birthdays|Рождени дни
Black|Черно
Blue|Синьо
Bluetooth|Блутут
Bookmarks|Препратки
Bookmarks Folder|Папка с препратки
Business|Бизнес
Buy!|Купи!
Cache size|Размер на кеша
Calculator|Калкулатор
Calendar|Календар
Calendar Panel|Панел на календара
Calendar Panel Settings|Настройки на панела календар
Call|Разговор
Call Log|Дневник на разговорите
Cancel|Отказ
Cancer|Рак
Capricorn|Козирог
Categories|Категории
Category Name|Име на категория
Celsius (#short)|C
Change|Смяна
Change City|Смени град
Change profile|Смени профила
Channels list|Списък с каналите
Choose Color|Избери цвят
Choose Program|Избери програма
Choose SPB Widget|Избери SPB притурка
Choose widget|Избери притурка
Clear|Ясно
Clear cache|Изчисти кеша
Clock|Часовник
Cloudy|Облачно
Cloudy, hail|Облачно, градушка
Cloudy, heavy rain|Облачно, пороен дъжд
Cloudy, heavy snow|Облачно, силен сняг
Cloudy, rain|Облачно, дъжд
Cloudy, rain with snow|Облачно, дъжд със сняг
Cloudy, snow|Облачно, сняг
Cloudy, thunder|Облачно, гръмотевици
Color anaglyph (red/cyan)|Цветен анаглиф (червено/циан)
Communication|Общуване
Contact|Контакт
Contacts|Контакти
Contacts Folder|Папка с контакти
Copyright %s 2007-2011\nSPB Software|Авторско право %s 2007-2011\nSPB софтуер
Copyright %s 2007-2012\nSPB Software|Авторско право %s 2007-2012\nSPB Software
Create Folder|Създай папка
Current|Текущ
Current city|Текущ град
Current conditions|Текущи условия
Current Conditions|Текущи условия
Current skin|Текуща кожа
Day|Ден
Deal of the Day|Сделка на деня
Deal of the Day Panel|Панел Сделка на деня
Deal of the Day Panel Settings|Настройки на панела Сделка на деня
Deals|Сделки
December|Декември
Default|По подразбиране
Delete note|Изтрий бележка
Dew point:|Точка на оросяване:
Diagnostic tools|Инструменти за диагностика
Disabled|Блокиран
Discoverable|Видим
Done|Готово
Download Original|Изтегли оригинала
Downloading images|Изтегляне на изображения
E|И
east|изток
Edit channel|Редактирай канала
Edit note|Редактирай бележка
Edit panels|Панели за редактиране
Emergency only|Само спешни обаждания
Empty Panel|Празен панел
Enable live wallpapers|Разреши живи тапети
Enabled|Разрешен
Enter RSS feed title|Въведи заглавия на RSS емисия
Enter RSS feed URL|Въведи URL на RSS емисия
Entertainment|Забавление
Error|Грешка
Evening|Вечер
Every 2 hours|На всеки 2 часа
Every 24 hours|На всеки 24 часа
Every 30 Minutes|На всеки 30 мин.
Every 30 minutes|На всеки 30 мин.
Every 4 hours|На всеки 4 часа
Every hour|На всеки час
Exit|Изход
Experimental|Експериментален
Experimental Settings|Настройки на Експериментални
Experimental settings|Настройки на Експериментални
Fahrenheit (#short)|Ф
Failed to load RSS|Неуспешно зареждане на RSS
Favorite Contacts|Любими контакти
Favorite contacts|Любими контакти
February|Февруари
Filter|Филтър
First day of the week|Първи ден от седмицата
First Quarter|Първа четвърт
Flight|Полет
Folder|Папка
Folder Name|Име на папка
Forecast|Прогноза
from forecast|от прогноза
Full Moon|Пълнолуние
Gallery|Галерия
Games|Игри
Gemini|Близнаци
Grayscale anaglyph (red/cyan)|Анаглиф в сивите нюанси (червено/циан)
Green|Зелено
G-Sensor|G-Сензор
Half an hour ago|Преди половин час
Hectopascals|Хектопаскали
Hide Duplicates|Скрий дубликати
Hide SIM Contacts|Скрий контактите в SIM картата
Home|Начална страница
Home Settings|Настройки на Началната страница
Home settings|Настройки на Началната страница
hpa|hpa
Humidity:|Влажност:
in %u days|след %u дни
in Home Settings|в настройки на Началната страница
inch|инч
Inches|Инчове
Increase Counter|Увеличи брояча
Interface mode|Режим интерфейс
Invisible|Невидим
January|Януари
July|Юли
June|Юни
Kilometers per hour|Километри в час
Knots|възли
knots|възли
kph|км/ч
kts|мили в час
Landscape|Хоризонтална
Landscape orientation required to enable left-to-right stereo mode|Нужно е ориентиране на пейзажа за активиране на стерео режим отляво-надясно
Large|Голям
Last Call|Последен разговор
Last Message|Последно съобщение
Last Quarter|Последна четвърт
Last updated|Последна актуализация
Left-to-right (HTC EVO 3D)|Отляво надясно (HTC EVO 3D)
Legal information|Правна информация
Legal notices|Правни известия
Leo|Лъв
Libra|Везни
Lifestyle|Стил на живот
Live wallpapers can cause performance degradation of your 3D home screen. Switching between live and static wallpapers can take up to a minute. Static wallpapers are recommended for the best experience.|Живите тапети могат да нарушат ефективността на вашия 3D екран на началната страница. Превключването между живи и статични тапети може да отнеме до минута. Статичните тапети се препоръчват за най-добър опит.
Loading failed|Неуспешно зареждане
Loading image for wallpaper|Зареждане на изображение за тапет
Loading RSS feed %s...|Зареждане на RSS емисия %s...
Loading skin failed!|Неуспешно зареждане на кожа!
Loading skins catalog failed!|Неуспешно зареждане на каталога с кожи!
Loading...|Зарежда се....
Logging In...|Записване...
Lunar Calendar|Лунен календар
Lunar day %d|Лунен ден %d
Manage apps|Управлявай прил.
Manage Apps|Управлявай прил.
Manage panels|Управлявай панелите
Manage Panels|Управлявай панелите
March|Март
May|Май
Messaging|Съобщения
Meters per second|Метри в секунда
Miles per hour|Мили в час
Millimetres|Милиметри
Misc|Разни
Miscellaneous|Разни
mm|мм
Mobile|Мобилен
Mode|Режим
Monday|Понеделник
Moon|Луна
Moon Calendar|Календар за луната
Moon in %s,|Луна в %s
Morning|Сутрин
mph|мили/ч
mps|м/с
Multimedia|Мултимедия
Music|Музика
Music albums|Музикални албуми
N|С
N/A|Непр.
nd|-ри
NE|СИ
Network Status|Статус на мрежата
Never|Никога
New Channel|Нов канал
New channel|Нов канал
New Contact|Нов контакт
New Folder|Нова папка
New Moon|Новолуние
News|Новини
News Panel|Панел Новини
News Panel Settings|Настройки на панела за новини
next|следващ
Next Alarm|Следваща аларма
Night|Нощ
No|Не
no|не
No Alarms|Няма аларми
No birthdays|Няма рождени дни
No calls|Няма разговори
No Cities|Няма градове
