 a few seconds| alguns segundos
 day| dia
 days| dias
 hour| hora
 hours| horas
 hr| hr
 hrs| h
 lunar day| dia lunar
 min| min.
 mins| min.
 minute| minuto
 minutes| minutos
%d bought|%d adquirido
%d day|%d dia
%d days|%d dias
%d hour|%d hora
%d hours|%d horas
%d minute|%d minuto
%d minutes|%d minutos
%d more...|%d mais...
%i active channel|%i canal ativo
%i active channels|%i canais ativos
%i image|%i imagem
%i images|%i imagens
%i more today|%i mais hoje
%i more...|%i mais...
%i page|%i página
%i pages|%i páginas
%i%% of Full|%i%% do Total
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 min)
(in|(em
(in seconds)|(em segundos
(No title)|(Sem título)
[ Loading images... ]|[ Carregando imagens... ]
[ Tap here for images load ]|[ Clique aqui para carregar imagens ]
A few minutes ago|Há alguns minutos
About|Sobre
About SPB Shell 3D|Sobre SPB Shell 3D
Above horizon|Acima do horizonte
Accelerometer|Acelerômetro
Activate|Activar
Activation|Ativação
Activation failed. Check your Internet connection.|Falha na ativação. Verifique a sua conexão de Internet.
Active Channels|Canais Ativos
Active channels|Canais ativos
Add|Adicionar
Add category|Adicionar categoria
Add channel|Adic. Canal
Add city|Adicionar cidade
Add custom channel|Adicionar canal personalizado
Add new city|Adicionar nova cidade
Add note|Adicionar nota
Add Panel|Adicionar painel
Add to Home screen|Adicionar à tela inicial
Airplane|Avião
Airplane Mode|Modo Avião
Alcatel Widget|Widget Alcatel
All day|Todo o dia
All pictures|Todas as Imagens
Allow resizing of all Android widgets|Permitir redimensionamento de todos os widgets android
An hour ago|Há uma hora
Android Shortcut|Atalho para o Android
Android Widget|Android Widget
Anniversary|Aniversário
Appearance|Aparência
Application|Aplicação
April|Abril
Aqua|Aqua
Aquarius|Aquário
Aries|Áries
as of %s|de %s
at %s|em %s
atm|atm
Atmospheres|Atmosferas
Atmospheric pressure scale|Escala  de pressão atmosférica
August|Agosto
Auto|Auto
Auto (keyboard only)|Auto (somente teclado)
Auto arrange widgets|Organizar os widgets automaticamente
Automatic|Automático
Automatic naming|Nomeação  automática
Backlight|Luz de Fundo
Battery|Bateria
Below horizon|Abaixo do horizonte
Birthday|Aniversário
Birthdays|Aniversários
Black|Preto
Blue|Azul
Bluetooth|Bluetooth
Bookmarks|Bookmarks
Bookmarks Folder|Pasta de Favoritos
Business|Negócio
Buy!|Compre!
Cache size|Tamanho do cache
Calculator|Calculadora
Calendar|Calendário
Calendar Panel|Painel do Calendário
Calendar Panel Settings|Configurações do Painel do Calendário
Call|Chamada
Call Log|Registro de Chamadas
Cancel|Cancelar
Cancer|Câncer
Capricorn|Capricórnio
Categories|Categorias
Category Name|Nome da Categoria
Celsius (#short)|Celsius
Change|Alterar
Change City|Alterar Cidade
Change profile|Alterar Perfil
Channels list|Lista de canais
Choose Alcatel Widget|Escolher Widget Alcatel
Choose Color|Escolher a cor
Choose Program|Escolher o Programa
Choose SPB Widget|Escolha o Widget SPB
Choose widget|Escolher Widget
Clear|Limpo
Clear cache|Limpar cache
Clock|Relógio
Cloudy|Nublado
Cloudy, hail|Nublado, granizo
Cloudy, heavy rain|Nublado, chuva forte
Cloudy, heavy snow|Nublado, neve forte
Cloudy, rain|Nublado, chuva
Cloudy, rain with snow|Nublado, chuva com neve
Cloudy, snow|Nublado, neve
Cloudy, thunder|Nublado, trovoadas
Color anaglyph (red/cyan)|Anáglifo cor (vermelho/ciano)
Communication|Comunicação
Contact|Contacto
Contact Settings|Configurações de Contato
Contact Size|Tamanho do Contato
Contacts|Contatos
Contacts Folder|Lista de Contatos
Copyright %s 2007-2011\nSPB Software|Copyright %s 2007-2011\nSPB Software
Copyright %s 2007-2012\nSPB Software|Copyright %s 2007-2012\nSPB Software
Create Folder|Criar Pasta
Current|Atual
Current city|Cidade atual
Current conditions|Condições Atuais
Current Conditions|Condições Atuais
Current skin|Design atual
Custom channel|Canal personalizado
Day|Dia
Deal of the Day|Promoção do Dia
Deal of the Day Panel|Painel com as Ofertas do Dia
Deal of the Day Panel Settings|Configurações do Painel de Ofertas do Dia
Deals|Ofertas
December|Dezembro
Default|Padrão
Default Action|Ação Pré-definida
Delete note|Deletar nota
Dew point:|Ponto de orvalho:
Diagnostic tools|Ferramentas de diagnóstico
Disabled|Desact.
Discoverable|Localizável
Done|Pronto
Download Original|Download Original
Downloading images|Baixando imagens
E|E
east|leste
Edit channel|Editar o canal
Edit Contact|Editar Contato
Edit note|Editar nota
Edit panels|Painéis de edição
Emergency only|Somente emergência
Empty Panel|Painel Vazio
Enable live wallpapers|Habilitar live wallpapers
Enabled|Ativado
Enter RSS feed title|Inserir título de RSS feed
Enter RSS feed URL|Inserir URL de RSS feed
Entertainment|Entretenimento
Error|Erro
Evening|Tarde
Every 2 hours|A cada 2 horas
Every 24 hours|A cada 24 horas
Every 30 Minutes|A cada 30 Minutos
Every 30 minutes|A cada 30 minutos
Every 4 hours|A cada 4 horas
Every hour|A cada hora
Exit|Sair
Experimental|Experimental
Experimental Settings|Configurações Experimentais
Experimental settings|Configurações experimentais
Fahrenheit (#short)|Fahrenheit
Failed to add contact|Falha ao adicionar contato
Failed to load RSS|Falha ao carregar o RSS
Failed to load the selected contact. Try to link the contact to Google account or save it to phone.|Falha ao carregar o contato selecionado. Tentar ligar o contato a conta do Google ou salvá-lo ao telefone.
Favorite Contacts|Contatos Favoritos
Favorite contacts|contatos Favoritos
Favorites|Favoritos
February|Fevereiro
Filter|Filtro
First day of the week|Primeiro dia da semana
First Quarter|Primeiro trimestre
Flight|Vôo
Folder|Pasta
Folder Name|Nome da Pasta
Forecast|Previsão
from forecast|de previsão
Full Moon|Lua cheia
Gallery|Galeria
Games|Jogos
Gemini|Gêmeos
Gravity|Gravidade
Grayscale anaglyph (red/cyan)|Anáglifo cinza (vermelho/ciano)
Green|Verde
G-Sensor|Sensor G
Half an hour ago|Há meia hora
Hectopascals|Hectopascais
Hide Duplicates|Ocultar Duplicados
Hide SIM Contacts|Ocultar Contatos do SIM
Home|Home
Home Settings|Configurações da Home
Home settings|Configurações da Home
hpa|HPA
Humidity:|Umidade
in %u days|em %u dias
in Home Settings|Nas Configurações da Home
inch|polegada
Inches|Polegadas
Increase Counter|Redefinir Contagem
Interface mode|Modo interface
Invisible|Invisível
January|Janeiro
July|Julho
June|Junho
Kilometers per hour|Quilômetros por hora
Knots|Nós
knots|nós
kph|km/h
kts|nós
Landscape|Paisagem
Landscape orientation required to enable left-to-right stereo mode|É necessário o modelo paisagem para habilitar o modo estéreo esquerda-para-direita
Large|Grande
Last Call|Última Chamada
Last Message|Última Mensagem
Last Quarter|No Trimestre Passado
Last updated|Útilma atualização
Left-to-right (HTC EVO 3D)|Esquerda-para-direita (HTC EVO 3D)
Legal information|Informação Legal
Legal notices|Avisos legais
Leo|Leão
Libra|Libra
Lifestyle|Estilo de vida
Live wallpapers can cause performance degradation of your 3D home screen. Switching between live and static wallpapers can take up to a minute. Static wallpapers are recommended for the best experience.|Live wallpapers podem causar uma degradação na performance de sua home screen 3D. Trocar o live wallpaper pelo static pode levar cerca de uma minuto. Static wallpapers são recomendados para uma experiência melhor.
Loading failed|Falha ao carregar
Loading image for wallpaper|Baixando imagem para papel de parede
