 a few seconds|uns segons
 day|dia
 days|dies
 hour|hora
 hours|hores
 hr|h
 hrs|h
 lunar day|dia lunar
 min|min
 mins|min
 minute|minut
 minutes|minuts
%d bought|%d de comanda
%d day|%d dia
%d days|%d dies
%d hour|%d hora
%d hours|%d hores
%d minute|%d minut
%d minutes|%d minuts
%d more...|%d més...
%i active channel|%i de canal actiu
%i active channels|%i de canals actius
%i image|%i imatge
%i images|%i imatges
%i more today|%i més avui
%i more...|%i més...
%i page|%i pàgina
%i pages|%i pàgines
%i%% of Full|%i%% de plenitud
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 min)
(in|en
(in seconds)|(en segons)
(No title)|No hi ha títol
[ Loading images... ]|[ Càrrega d'imatges... ]
[ Tap here for images load ]|[ Premi aquí per carregar les imatges ]
A few minutes ago|Fa uns  minuts
About|Sobre
Above horizon|Sobre l'horitzó
Activate|Activar
Activation|Activació
Activation failed. Check your Internet connection.|Ha fallat l'activació. Comprovi la seva connexió a Internet.
Active Channels|Canals actius
Active channels|Canals actius
Add|Afegir
Add category|Afegir categoria
Add city|Afegir una ciutat
Add custom channel|Afegir canal personalitzat
Add new city|Afegir una ciutat nova
Add note|Afegir una nota
Add Panel|Afegir tauler
Add to Home screen|Afegir a la pantalla d'Inici
Airplane|Avió
Airplane Mode|Mode avió
All day|Tot el dia
All pictures|Totes les imatges
Allow resizing of all Android widgets|Permetre el canvi de mida de tots els ginys de l'Android
An hour ago|Fa una hora
Android Shortcut|Accés directe Android
Android Widget|Giny Android
Anniversary|Aniversari
Appearance|Aparença
Application|Aplicació
April|Abril
Aqua|Aigua
Aquarius|Aquari
Aries|Àries
as of %s|el %s
at %s|a %s
atm|atm
Atmospheres|Atmosferes
Atmospheric pressure scale|Escala de la pressió atmosfèrica
August|Agost
Auto|Auto
Auto (keyboard only)|Auto (Teclat només)
Auto arrange widgets|Disposició automàtica de ginys
Automatic|Automàtic
Automatic naming|Assignació automàtica de nom
Backlight|﻿Il·luminació a contrallum
Battery|Bateria
Below horizon|Sota l'horitzó
Birthday|Aniversari
Birthdays|Aniversaris
Black|Negre
Blue|Blau
Bluetooth|Bluetooth
Bookmarks|Llista d'adreces d'interès
Bookmarks Folder|Carpeta d'adreces d'interès
Business|Negoci
Buy!|Compra!
Cache size|Mida de la memòria cau
Calculator|Calculadora
Calendar|Calendari
Calendar Panel|Tauler Calendari
