 a few seconds| několik sekund
 day| den
 days|dny/dnů
 hour| hod.
 hours| hod.
 hr| h
 hrs| hod
 lunar day| lunární den
 min| min
 mins| min
 minute| min.
 minutes| min.
%d bought|%d zakoupeno
%d day|%d den
%d days|%d d.
%d hour|%d hod.
%d hours|%d hod.
%d minute|%d min.
%d minutes|%d min.
%d more...|ještě %d ...
%i active channel|%i aktivní kanál
%i active channels|%i aktivních kanálů
%i image|%i obr.
%i images|%i obr.
%i more today|%i ještě dnes
%i more...|ještě %i
%i page|%i str.
%i pages|%i str.
%i%% of Full|Zaplněno na %i%%
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 min)
(in|(za
(in seconds)|(za několik sekund)
(No title)|(Bez názvu)
[ Loading images... ]|[ Načítání obrázků... ]
[ Tap here for images load ]|[ Pro načítání obrázků tapněte zde ]
A few minutes ago|Před několika minutami
About|O programu
About SPB Shell 3D|O SPB Shell 3D
Above horizon|Nad horizontem
Accelerometer|Akcelerometr
Activate|Aktivovat
Activation|Aktivace
Activation failed. Check your Internet connection.|Aktivace selhala. Překontrolujte prosím internetové připojení.
Active Channels|Aktivní kanály
Active channels|Aktivní kanály
Add|Přidat
Add category|Přidat kategorii
Add channel|Přidat kanál
Add city|Přidat město
Add custom channel|Přidat kanál
Add new city|Přidat nové město
Add note|Přidat poznámku
Add Panel|Přidat panel
Add to Home screen|Přidat na domácí obrazovku
Airplane|Letadlo
Airplane Mode|Režim Letadlo
Alcatel Widget|Alcatel miniaplikace
All day|Celý den
All pictures|Všechny obrázky
Allow resizing of all Android widgets|Povolit změnu velikosti všech android widgetů
An hour ago|Před hodinou
Android Shortcut|Android odkaz
Android Widget|Android miniaplikace
Anniversary|Výročí
Appearance|Vzhled
Application|Aplikace
April|Duben
Aqua|Aqua
Aquarius|Vodnář
Aries|Beran
as of %s|v čase %s
at %s|v %s
atm|atm
Atmospheres|Atmosféry
Atmospheric pressure scale|Stupnice atm. tlaku
August|Srpen
Auto|Auto
Auto (keyboard only)|Auto (jen klávesnice)
Auto arrange widgets|Automatické uspořádání widgetů
Automatic|Automatický
Automatic naming|Automatické pojmenování
Backlight|Podsvícení
Battery|Baterie
Below horizon|Pod horizontem
Birthday|Narozeniny
Birthdays|Narozeniny
Black|Černý
Blue|Modrý
Bluetooth|Bluetooth
Bookmarks|Záložky
Bookmarks Folder|Složka záložek
Business|Business
Buy!|Koupit!
Cache size|Velikost cache
Calculator|Kalkulátor
Calendar|Kalendář
Calendar Panel|Panel kalendáře
Calendar Panel Settings|Nastavení panelu kalendáře
Call|Zavolat
Call Log|Historie hovorů
Cancel|Storno
Cancer|Rak
Capricorn|Kozoroh
Categories|Kategorie
Category Name|Název kategorie
Celsius (#short)|st. C
Change|Změnit
Change City|Změnit město
Change profile|Změnit profil
Channels list|Seznam kanálů
Choose Alcatel Widget|Vyberte si Alcatel miniaplikace
Choose Color|Vybrat barvu
Choose Program|Vybrat program
Choose SPB Widget|Vybrat SPB Widget
Choose widget|Vybrat miniaplikaci
Clear|Jasno
Clear cache|Vymazat Cache
Clock|Hodiny
Cloudy|Oblačno
Cloudy, hail|Oblačno, kroupy
Cloudy, heavy rain|Zataženo, silný déšť
Cloudy, heavy snow|Zataženo, silné sněžení
Cloudy, rain|Zataženo, déšť
Cloudy, rain with snow|Zataženo, déšť se sněhem
Cloudy, snow|Zataženo, sněžení
Cloudy, thunder|Zataženo, bouřka
Color anaglyph (red/cyan)|Barevný anaglyf (červeno/azurový)
Communication|Komunikace
Contact|Kontakt
Contact Settings|Nastavení kontaktu
Contact Size|Rozměr kontaktu
Contacts|Kontakty
Contacts Folder|Složka Kontakty
Copyright %s 2007-2011\nSPB Software|Copyright %s 2007-2011\nSPB Software
Copyright %s 2007-2012\nSPB Software|Copyright %s 2007-2012\nSPB Software
Create Folder|Vytvořit složku
Current|Aktuální
Current city|Aktuální město
Current conditions|Aktuální počasí
Current Conditions|Aktuální počasí
Current skin|Aktuální skin
Custom channel|Vlastní kanál
Day|Den
Deal of the Day|Nabídka dne
Deal of the Day Panel|Panel denní nabídky
Deal of the Day Panel Settings|Nastavení panelu Deal of the Day
Deals|Nabídky
December|Prosinec
Default|Výchozí
Default Action|Výchozí akce
Delete note|Smazat poznámku
Dew point:|Rosný bod:
Diagnostic tools|Diagnostické nástroje
Disabled|Vypnuto
Discoverable|Zjistitelný
Done|Hotovo
Download Original|Stáhnout originál
Downloading images|Stahování obrázků
E|V
east|V
Edit channel|Editovat kanál
Edit Contact|Upravit kontakt
Edit note|Editovat poznámku
Edit panels|Upravit panely
Emergency only|Pouze tísňová volání
Empty Panel|Prázdný panel
Enable live wallpapers|Povolit živé tapety
Enabled|Zapnuto
Enter RSS feed title|Zadejte název RSS
Enter RSS feed URL|Zadejte URL adresu RSS
Entertainment|Zábava
Error|Chyba
Evening|Večer
Every 2 hours|Každé 2 hodiny
Every 24 hours|Každých 24 hodin
Every 30 Minutes|Každých 30 minut
Every 30 minutes|Každých 30 minut
Every 4 hours|Každé 4 hodiny
Every hour|Každou hodinu
Exit|Odejít
Experimental|Experimentální
Experimental Settings|Experimentální nastavení
Experimental settings|Experimentální nastavení
Fahrenheit (#short)|st. F
Failed to add contact|Chyba při přidávání kontaktu
Failed to load RSS|Chyba při stahování RSS
Failed to load the selected contact. Try to link the contact to Google account or save it to phone.|Nepodařilo se načíst vybraný kontakt. Zkuste odkaz na kontakt na účet Google nebo uložit do telefonu.
Favorite Contacts|Oblíbené kontakty
Favorite contacts|Oblíbené kontakty
Favorites|Oblíbené
February|Únor
Filter|Filtr
First day of the week|První den týdne
First Quarter|První čtvrť
Flight|Let
Folder|Složka
Folder Name|Název složky
Forecast|Předpověď
from forecast|z předpovědi
Full Moon|Úplněk
Gallery|Galerie
Games|Hry
Gemini|Blíženci
Gravity|Gravitace
Grayscale anaglyph (red/cyan)|Šedý anaglyf (červeno/azurový)
Green|Zelený
G-Sensor|G-Senzor
Half an hour ago|Před půl hodinou
Hectopascals|hektopascaly
Hide Duplicates|Skrýt duplikáty
Hide SIM Contacts|Skrýt SIM kontakty
Home|Hlavní
Home Settings|Nastavení hlavní obrazovky
Home settings|Nastavení hlavní obrazovky
hpa|hPa
Humidity:|Vlhkost:
