 a few seconds| et par sekunder
 day| dag
 days| dage
 hour| time
 hours| timer
 hr| ti
 hrs| timer
 lunar day| måne dag
 min| min
 mins| min
 minute| minut
 minutes| minutter
%d bought|%d købt
%d day|%d dag
%d days|%d dage
%d hour|%d time
%d hours|%d timer
%d minute|%d minut
%d minutes|%d minutter
%d more...|%d mere...
%i active channel|%i aktiv kanal
%i active channels|%i aktive kanaler
%i image|%i billede
%i images|%i billeder
%i more today|%i flere idag
%i more...|%i flere...
%i page|%i side
%i pages|%i sider
%i%% of Full|%i%% af fuld
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 min)
(in|(i
(in seconds)|(i sekunder)
(No title)|(Ingen titel)
[ Loading images... ]|[ Henter billeder.... ]
[ Tap here for images load ]|[ Tryk her for at hente billeder ]
A few minutes ago|Få minutter siden
About|Om
About SPB Shell 3D|Om SPB Shell 3D
Above horizon|Over horisont
Accelerometer|Accelerometer
Activate|Aktiver
Activation|Aktivering
Activation failed. Check your Internet connection.|Aktivering fejlede. Tjek din internet forbindelse.
Active Channels|Aktive kanaler
Active channels|Aktive kanaler
Add|Tilføj
Add category|Tilføj kategori
Add channel|Tilføj kanal
Add city|Tilføj by
Add custom channel|Tilføj tilpasset kanal
Add new city|Tilføj ny by
Add note|Tilføj note
Add Panel|Tilføj panel
Add to Home screen|Tilføj til startskærm
Airplane|Flymaskine
Airplane Mode|Flytilstand
Alcatel Widget|Alcatel Widget
All day|Hele dagen
All pictures|Alle billeder
Allow resizing of all Android widgets|Tillad at ændre størrelse på Android Widgets
An hour ago|En time siden
Android Shortcut|Android genvej
Android Widget|Android Widget
Anniversary|Jubilæum
Appearance|Udseende
Application|Applikationer
April|april
Aqua|Vand
Aquarius|Vandmanden
Aries|Væderen
as of %s|som af %s
at %s|ved %s
atm|atm
Atmospheres|Atmosfærisk
Atmospheric pressure scale|Atmosfærisk tryk skala
August|august
Auto|Auto
Auto (keyboard only)|Auto (kun tastatur)
Auto arrange widgets|Auto arranger widgets
Automatic|Automatisk
Automatic naming|Automatisk navngivning
Backlight|Baggrundslys
Battery|Batteri
Below horizon|Under horisont
Birthday|Fødselsdag
Birthdays|Fødselsdage
Black|Sort
Blue|Blå
Bluetooth|Bluetooth
Bookmarks|Bogmærker
Bookmarks Folder|Bogmærke mappe
Business|Forretning
Buy!|Køb!
Cache size|Cache størrelse
Calculator|Lommeregner
Calendar|Kalender
Calendar Panel|Kalender panel
Calendar Panel Settings|Kalender Panel indstillinger
Call|Ring til
Call Log|Opkaldsliste
Cancel|Annullere
Cancer|Kræft
Capricorn|Stenbukken
