 a few seconds| einige Sekunden
 day| Tag
 days| Tagen
 hour| Stunde
 hours| Stunden
 hr| St.
 hrs| St.
 lunar day| Mondtag
 min| Min.
 mins| Min.
 minute| Minute
 minutes| Minuten
%d bought|%d gekauft
%d day|%d Tag
%d days|%d Tage
%d hour|%d Stunde
%d hours|in %d Stunden
%d minute|%d Minute
%d minutes|in %d Minuten
%d more...|%d mehr...
%i active channel|%i aktiver Kanal
%i active channels|%i aktive Kanäle
%i image|%i Bild
%i images|%i Bilder
%i more today|%i weitere
%i more...|%i weitere...
%i page|%i Seite
%i pages|%i Seiten
%i%% of Full|%i%% vom Vollmond
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 Min)
(in|(in
(in seconds)|(in Sekunden)
(No title)|(Kein Titel)
[ Loading images... ]|[ Lade Bilder... ]
[ Tap here for images load ]|[ Hier drücken, um Bilder zu laden ]
A few minutes ago|Vor einigen Minuten
About|Info
About SPB Shell 3D|Über SPB Shell 3D
Above horizon|Über dem Horizont
Accelerometer|Beschleunigungssensor
Activate|Aktivieren
Activation|Aktivierung
Activation failed. Check your Internet connection.|Aktivierung fehlgeschlagen. Prüfen Sie bitte Ihre Internetverbindung.
Active Channels|Aktive Kanäle
Active channels|Aktive Kanäle
Add|Hinzufügen
Add category|Kategorie hinzufügen
Add channel|Kanal hinzufügen
Add city|Stadt hinzufügen
Add custom channel|Eigene Kanäle hinzufügen
Add new city|Neue Stadt hinzurüfen
Add note|Notiz hinzufügen
Add Panel|Panel hinzufügen
Add to Home screen|Zum Homescreen hinzufügen
Airplane|Flugmodus
Airplane Mode|Flugmodus
Alcatel Widget|Alcatel Widget
All day|Ganztägig
All pictures|Alle Bilder
Allow resizing of all Android widgets|Alle Android Widgets in der Größe ändern
An hour ago|Vor einer Stunde
Android Shortcut|Android Verknüpfung
Android Widget|Android Widget
Anniversary|Jahrestag
Appearance|Gestaltung
Application|Anwendung
April|April
Aqua|Aqua
Aquarius|Wassermann
Aries|Widder
as of %s|wie in %s
at %s|in %s
atm|Atm.
Atmospheres|Atmosphären
Atmospheric pressure scale|Luftdruck Maßstab
August|August
Auto|Automatisch
Auto (keyboard only)|Automatisch (Nur Tastatur)
Auto arrange widgets|Widget Auto-Anpassung
Automatic|Automatik
Automatic naming|Automatisch benennen
Backlight|Beleuchtung
Battery|Akkustatus
Below horizon|Unter dem Horizont
Birthday|Geburtstag
Birthdays|Geburtstage
Black|Schwarz
Blue|Blau
Bluetooth|Bluetooth
Bookmarks|Lesezeichen
Bookmarks Folder|Lesezeichen Ordner
Business|Business
Buy!|Erwerben!
Cache size|Cache Größe
Calculator|Rechner
Calendar|Kalender
Calendar Panel|Kalender Panel
Calendar Panel Settings|Kalender Paneel Einstellungen
Call|Anrufen
Call Log|Anrufhistorie
Cancel|Abbrechen
Cancer|Krebs
Capricorn|Steinbock
Categories|Kategorien
Category Name|Name der Kategorie
Celsius (#short)|Celsius (°C)
Change|Ändern
Change City|Stadt wechseln
Change profile|Profil ändern
Channels list|Kanalliste
Choose Alcatel Widget|Alcatel Widget auswählen
