 a few seconds| mõni sekund
 day| päev
 days| päevad
 hour| tund
 hours| tunnid
 hr| t
 hrs| t
 lunar day| lunaarpäev
 min| min
 mins| min
 minute| minut
 minutes| minutid
%d bought|%d ostetud
%d day|%d päev
%d days|%d päeva
%d hour|%d tund
%d hours|%d tundi
%d minute|%d minut
%d minutes|%d minutit
%d more...|%d edasi...
%i active channel|%i aktiivne kanal
%i active channels|%i aktiivsed kanalid
%i image|%i kujutis
%i images|%i kujutised
%i more today|täna %i rohkem...
%i more...|%i rohkem...
%i page|%i lehekülg
%i pages|%i lehekülge
%i%% of Full|%i%% täiskuust
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 min)
(in|(
(in seconds)|(sekundis)
(No title)|(Pealkirjata)
[ Loading images... ]|[ Laadib kujutisi... ]
[ Tap here for images load ]|[ Koputa siia, et laadida kujutised ]
A few minutes ago|Mõned minutid tagasi
About|Teemal
Above horizon|Horisondi kohal
Activate|Aktiveeri
Activation|Aktiveerimine
Activation failed. Check your Internet connection.|Aktiveerimine ebaõnnestus. Kontrollige internetiühendust.
Active Channels|Aktiivsed kanalid
Active channels|Aktiivsed kanalid
Add|Lisa
Add category|Lisa kategooria
Add city|Lisa linn
Add custom channel|Lisa erikanal
Add new city|Lisa uus linn
Add note|Lisa märge
Add Panel|Lisa paneel
Add to Home screen|Lisa koduekraanile
Airplane|Lennuk
Airplane Mode|Lennukirežiim
All day|Terve päev
All pictures|Kõik pildid
Allow resizing of all Android widgets|Luba kõigi Androidi vidinate suuruse muutmist
An hour ago|Tund aega tagasi
Android Shortcut|Androidi kiirnupp
Android Widget|Androidi vidin
Anniversary|Juubel
Appearance|Välimus
Application|Rakendus
April|Aprill
Aqua|Vesi
Aquarius|Veevalaja
Aries|Jäär
as of %s| %s seisuga
at %s| %s
atm|atm
Atmospheres|Atmosfäärid
Atmospheric pressure scale|Atmosfäärilise rõhu skaala
August|August
Auto|Auto
Auto (keyboard only)|Auto (ainult klaviatuur)
Auto arrange widgets|Autom vitinate korraldamine
Automatic|Automaatne
Automatic naming|Automaatne nimetamine
Backlight|Taustavalgus
Battery|Aku
Below horizon|Allpool horisonti
Birthday|Sünnipäev
Birthdays|Sünnipäev
Black|Must
Blue|Sinine
Bluetooth|Bluetooth
Bookmarks|Järjehoidjad
Bookmarks Folder|Järjehoidjate kaust
Business|Äri
Buy!|Osta!
Cache size|Vahemälu suurus
Calculator|Kalkulaator
Calendar|Kalender
Calendar Panel|Kalender
Calendar Panel Settings|Kalendri seadistused
Call|Helista
Call Log|Kõnelogi
Cancel|Tühista
Cancer|Vähk
Capricorn|Kaljukits
Categories|Kategooriad
Category Name|Kategooria nimi
Celsius (#short)|Celsius
Change|Muuda
Change City|Muuda linna
Change profile|Muuda profiili
Channels list|Kanalite nimekiri
Choose Color|Vali värv
Choose Program|Vali programm
Choose SPB Widget|Vali SPB vidin
Choose widget|Vali vidin
Clear|Selge
Clear cache|Kustuta vahemälu
Clock|Kell
Cloudy|Pilvine
Cloudy, hail|Pilvine, rahe
Cloudy, heavy rain|Pilvine, tugev vihm
Cloudy, heavy snow|Pilvine, tugev lumesadu
Cloudy, rain|Pilvine, vihm
Cloudy, rain with snow|Pilvine, lörts
Cloudy, snow|Pilvine, lumi
Cloudy, thunder|Pilvine, äike
Color anaglyph (red/cyan)|Värvi anaglüüf (punane/tsüaan)
Communication|Side
Contact|Kontakt
Contacts|Kontaktid
Contacts Folder|Kontaktide kaust
Copyright %s 2007-2011\nSPB Software|Autoriõigus  %s 2007-2011\nSPB tarkvara
Copyright %s 2007-2012\nSPB Software|Autoriõigus  %s 2007-2012\nSPB tarkvara
Create Folder|Loo kaust
Current|Praegune
Current city|Praegune linn
Current conditions|Hetketingimused
Current Conditions|Hetketingimused
Current skin|Praegune kest
Day|Päev
Deal of the Day|Päeva kokkulepe
Deal of the Day Panel|Päeva kokkulepe
Deal of the Day Panel Settings|Päeva kokkuleppe seadistused
Deals|Kokkulepped
December|Detsember
Default|Vaikeseade
Delete note|Kustuta märge
Dew point:|Kondenseerumispunkt:
Diagnostic tools|Diagnostiline tööriist
Disabled|Keela
Discoverable|Tuvastatav
Done|Valmis
Download Original|Laadi originaal alla
Downloading images|Laadib kujutise alla
E|E
east|ida
Edit channel|Redigeeri kanalit
Edit note|Muuda märget
Edit panels|Muuda paneele
Emergency only|Vaid hädaabi
Empty Panel|Tühi paneel
Enable live wallpapers|Luba live-taustapilte
Enabled|Luba
Enter RSS feed title|Sisesta RSS-toite pealkiri
Enter RSS feed URL|Sisesta RSS-toite URL
Entertainment|Meelelahutus
Error|Viga
Evening|Õhtu
Every 2 hours|Iga 2 tunni tagant
Every 24 hours|Iga 24 tunni tagant
Every 30 Minutes|Iga 30 minuti tagant
Every 30 minutes|Iga 30 minuti tagant
Every 4 hours|Iga 4 tunni tagant
Every hour|Iga tunni tagant
Exit|Välju
Experimental|Eksperimentaalne
Experimental Settings|Eksperimentaalsed seadistused
Experimental settings|Eksperimentaalsed seadistused
Fahrenheit (#short)|Fahrenheit
Failed to load RSS|RSSi ei saanud laadida
Favorite Contacts|Lemmikkontaktid
Favorite contacts|Lemmikkontaktid
February|Veebruar
Filter|Filter
First day of the week|Esimene nädalapäev
First Quarter|Esimene veerand
Flight|Lend
Folder|Kaust
Folder Name|Kausta nimi
Forecast|Ilmaennustus
from forecast|ilmateatest
Full Moon|Täiskuu
Gallery|Galerii
Games|Mängud
Gemini|Kaksikud
Grayscale anaglyph (red/cyan)|Hallskaala anaglüüf (punane/tsüaan)
Green|Roheline
G-Sensor|G-sensor
Half an hour ago|Pool tundi tagasi
Hectopascals|Hektopaskalid
Hide Duplicates|Peida topelt
Hide SIM Contacts|Peida SIM-kaardi kontaktid
Home|Kodu
Home Settings|Kodu seadistused
Home settings|Kodu seadistused
hpa|HPa
Humidity:|Niiskus:
in %u days|%u päevas
in Home Settings|kodu seadistustes
inch|toll
Inches|Tollid
Increase Counter|Suurenda lugejat
Interface mode|Kasutajaliidese režiim
Invisible|Nähtamatu
January|Jaanuar
July|Juuli
June|Juuni
Kilometers per hour|Kilomeetrid tunnis
Knots|sõlmed
knots|sõlmed
kph|km/h
kts|slm
Landscape|Horisontaalpaigutus
Landscape orientation required to enable left-to-right stereo mode|Vasakult paremale stereorežiimi jaoks on vajalik maastiku paigutus
Large|Suur
Last Call|Viimane kõne
Last Message|Viimane sõnum
Last Quarter|Viimane veerand
Last updated|Viimati uuendatud
Left-to-right (HTC EVO 3D)|Vasakult paremale (HTC EVO 3D)
Legal information|Õiguslik teave
Legal notices|Õiguslik teatis
Leo|Lõvi
Libra|Kaalud
Lifestyle|Elustiil
Live wallpapers can cause performance degradation of your 3D home screen. Switching between live and static wallpapers can take up to a minute. Static wallpapers are recommended for the best experience.|Live-taustapildid võivad halvendada 3D-koduekraani tööd. Live- ja staatiliste taustapiltide vahet lülitamine võib kesta mõned minutid. Parima kogemuse saamiseks soovitatakse staatilist taustapilti.
Loading failed|Laadimine ebaõnnestus
Loading image for wallpaper|Laadib taustapildi jaoks kujutist
Loading RSS feed %s...|Laadimine: RSS sisend %s...
Loading skin failed!|Kesta laadimine ebaõnnestus!
Loading skins catalog failed!|Kestakataloogi laadimine ebaõnnestus!
Loading...|Laadib...
Logging In...|Logib sisse...
Lunar Calendar|Lunaarkalender
Lunar day %d|Lunaarpäev %d
Manage apps|Halda rakendusi
Manage Apps|Halda rakendusi
Manage panels|Halda paneele
Manage Panels|Halda paneele
March|Märts
May|Mai
Messaging|Sõnumite saatmine
Meters per second|Meetreid sekundis
Miles per hour|Mille tunnis
Millimetres|Millimeetrid
Misc|Vario
Miscellaneous|Vario
mm|mm
Mobile|Mobiil
Mode|Režiim
Monday|Esmaspäev
Moon|Kuu
Moon Calendar|Lunaarkalender
Moon in %s,|Kuu %s,
Morning|Hommik
mph|m/h
mps|ms
Multimedia|Multimeedia
Music|Muusika
Music albums|Muusikaalbum
N|N
N/A|N/A
nd|.
NE|NE
Network Status|Võrgu staatus
Never|Iialgi
