 a few seconds| pocos segundos
 day| día
 days| días
 hour| hora
 hours| horas
 hr| h
 hrs| h.
 lunar day| día lunar
 min| min.
 mins| min.
 minute| minuto
 minutes| minutos
%d bought|%d comprado
%d day|%d día
%d days|%d días
%d hour|%d hora
%d hours|%d horas
%d minute|%d minuto
%d minutes|%d minutos
%d more...|%d más...
%i active channel|%i canal activo
%i active channels|%i canales activos
%i image|%i imagen
%i images|%i imágenes
%i more today|%i más el día de hoy
%i more...|%i más...
%i page|%i página
%i pages|%i paginas
%i%% of Full|%i%% de Llena
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 min.)
(in|(en
(in seconds)|(en segundos)
(No title)|(Sin título)
[ Loading images... ]|[ Cargando imágenes... ]
[ Tap here for images load ]|[ Pulse aquí para cargar imágenes ]
A few minutes ago|Hace unos minutos
About|Acerca de
About SPB Shell 3D|Acerca de SPB Shell 3D
Above horizon|Sobre el horizonte
Accelerometer|Acelerómetro
Activate|Activar
Activation|Activación
Activation failed. Check your Internet connection.|La activación ha fallado. Compruebe su conexión a Internet.
Active Channels|Activar Canales
Active channels|Activar canales
Add|Añadir
Add category|Añadir categoría
Add channel|Añadir Canal
Add city|Añadir ciudad
Add custom channel|Añadir canal personalizado
Add new city|Añadir nueva ciudad
Add note|Añadir nota
Add Panel|Añadir Panel
Add to Home screen|Añadir a la pantalla de inicio
Airplane|Avión
Airplane Mode|Modo Avión
Alcatel Widget|Widget Alcatel
All day|Todo el día
All pictures|Todas las Imágenes
Allow resizing of all Android widgets|Permitir cambiar el tamaño de todos los widgets de Android
An hour ago|Una hora atrás
Android Shortcut|Acceso directo Android
Android Widget|Android Widget
Anniversary|Aniversario
Appearance|Apariencia
Application|Aplicación
April|Abril
Aqua|Aqua
Aquarius|Acuario
Aries|Aries
as of %s|para %s
at %s|en %s
atm|atm
Atmospheres|Atmósferas
Atmospheric pressure scale|Escala Presión Atmosférica
August|Agosto
Auto|Auto
Auto (keyboard only)|Auto (sólo teclado)
Auto arrange widgets|Automáticamente organizar los widgets
Automatic|Automático
Automatic naming|Nominación automática
Backlight|Retroiluminación
Battery|Batería
Below horizon|Debajo del horizontte
Birthday|Cumpleaños
Birthdays|Cumpleaños
Black|Negro
Blue|Azul
Bluetooth|Bluetooth
Bookmarks|Marcadores
Bookmarks Folder|Carpeta Marcadores
Business|Negocio
Buy!|Comprar!
Cache size|Tamaño de la caché
Calculator|Calculadora
Calendar|Calendario
Calendar Panel|Panel de Calendario
Calendar Panel Settings|Configuración del panel del calendario
Call|Llamar
Call Log|Registro de Llamadas
Cancel|Cancelar
Cancer|Cáncer
Capricorn|Capricornio
Categories|Categorías
Category Name|Nombre de la Categoría
Celsius (#short)|Celsius
Change|Cambiar
Change City|Cambiar ciudad
Change profile|Cambiar Perfil
Channels list|Lista de Canales
