 a few seconds| quelques secondes
 day| jour
 days| jours
 hour| heure
 hours| heures
 hr| hr
 hrs| hrs
 lunar day| jour lunaire
 min| min
 mins| mins
 minute| minute
 minutes| minutes
%d bought|%d acheté
%d day|%d jour
%d days|%d jours
%d hour|%d heure
%d hours|%d heures
%d minute|%d minute
%d minutes|%d minutes
%d more...|%d plus ...
%i active channel|Chaîne active %i
%i active channels|%i chaînes actives
%i image|%i image
%i images|%i images
%i more today|%i de plus aujourd'hui
%i more...|%i de plus...
%i page|%i page
%i pages|%i pages
%i%% of Full|%i%% de Tout
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 min)
(in|(dans
(in seconds)|(en secondes)
(No title)|(Pas de titre)
[ Loading images... ]|[ Chargement images... ]
[ Tap here for images load ]|[ Appuyez ici pour charger les images ]
A few minutes ago|Il y a quelques minutes
About|A propos
About SPB Shell 3D|A propos de SPB Shell 3D
Above horizon|Dessus de l'horizon
Accelerometer|Accéléromètre
Activate|Activer
Activation|Activation
Activation failed. Check your Internet connection.|Problème d'activation. Verifiez votre connexion Internet.
Active Channels|Chaînes actives
Active channels|Chaînes actives
Add|Ajouter
Add category|Ajouter catégorie
Add channel|Ajouter Chaîne
Add city|Ajouter ville
Add custom channel|Ajouter une  chaîne personnalisée
Add new city|Ajouter nouvelle veille
Add note|Ajouter note
Add Panel|Ajouter Panneau
Add to Home screen|Ajouter à l'écran d'accueil
Airplane|Avion
Airplane Mode|Mode avion
Alcatel Widget|Gadget Widget
All day|Journée entière
All pictures|Toutes les photos
Allow resizing of all Android widgets|Autoriser le redimensionnement pour tous les widgets Android.
An hour ago|Il y a une heure
Android Shortcut|Raccourci Android
Android Widget|Gadget Android
Anniversary|Anniversaire
Appearance|Apparence
Application|Application
April|Avril
Aqua|Aqua
Aquarius|Verseau
Aries|Belier
as of %s|du %s
at %s|à %s
atm|atm
Atmospheres|Atmosphères
Atmospheric pressure scale|Echelle de pression atmosphérique
August|Août
Auto|Auto
Auto (keyboard only)|Auto (clavier seulement)
Auto arrange widgets|Alignement auto des gadgets
Automatic|Automatique
Automatic naming|Nom automatique
Backlight|Rétro-éclairage
Battery|Batterie
Below horizon|Ci-dessous de l'horizon
Birthday|Date naissance
Birthdays|Anniversaires
Black|Noir
Blue|Bleu
Bluetooth|Bluetooth
Bookmarks|Favoris
Bookmarks Folder|Dossier Raccourcis
Business|Professionnel
Buy!|Acheter !
Cache size|Taille du cache
Calculator|Calculatrice
Calendar|Calendrier
Calendar Panel|Panneau Calendrier
Calendar Panel Settings|Paramètres Panneau Calendrier
Call|Appeler
Call Log|Historique des appels
Cancel|Annuler
Cancer|Cancer
Capricorn|Capricorne
Categories|Catégories
Category Name|Nom Catégorie
Celsius (#short)|Celsius
Change|Changer
Change City|Changer ville
Change profile|Changer Profil
Channels list|Liste des chaînes
Choose Alcatel Widget|Choisissez le Gadget Alcatel
Choose Color|Choisir Couleur
Choose Program|Choisir Programme
Choose SPB Widget|Choisir le gadgets SPB
Choose widget|Choisir Gadget
Clear|Clair
