 a few seconds| λίγα δευτερόλεπτα
 day| μέρα
 days| μέρες
 hour| ώρα
 hours| ώρες
 hr| ώρα
 hrs| ώρες
 lunar day| σεληνιακή μέρα
 min| λεπτό
 mins| λεπτά
 minute| λεπτό
 minutes| λεπτά
%d bought|%d αγοράστηκε
%i more today|ακόμα %i σήμερα
%i more...|ακόμα %i...
%i%% of Full|%i%% της Πανσελήνου
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 λεπτό)
(in|(σε
(in seconds)|(σε δευτερόλεπτα)
(No title)|(Χωρίς τίτλο)
[ Loading images... ]|[ Φόρτωση εικόνων... ]
[ Tap here for images load ]|[ Πατήστε εδώ για φόρτωση εικόνων ]
About|Σχετικά
Activate|Ενεργοποίηση
Activation|Ενεργοποίηση
Activation failed. Check your Internet connection.|Αποτυχία ενεργοποίησης
Add|Προσθήκη
Add channel|Προσθήκη καναλιού
Add city|Προσθήκη πόλης
Add new city|Προσθήκη νέας πόλης
Add Panel|Προσθήκη πάνελ
Add to Home screen|Προσθήκη στην Αρχική οθόνη
Airplane|Αεροπλάνο
Airplane Mode|Λειτουργία αεροπλάνου
All day|Όλη μέρα
All pictures|Όλες οι εικόνες
Android Shortcut|Συντόμευση του Android
Android Widget|Widget του Android
Anniversary|Επέτειος
Appearance|Εμφάνιση
Application|Εφαρμογή
April|Απρίλιος
Aqua|Γαλάζιο
as of %s|από %s
at %s|%s
atm|atm
Atmospheres|Ατμόσφαιρες
Atmospheric pressure scale|Κλίμακα ατμοσφαιρικής πίεσης
August|Αύγουστος
Auto|Αυτόματο
Auto (keyboard only)|Αυτόματο (πληκτρολόγιο μόνο)
Auto arrange widgets|Αυτόματη διευθέτηση των widget
Automatic|Αυτόματο
Automatic naming|Αυτόματη ονοματοδοσία
Backlight|Φωτισμός
Battery|Μπαταρία
Birthday|Γενέθλια
Birthdays|Γενέθλια
Black|Μαύρο
Blue|Μπλε
Bluetooth|Bluetooth
Bookmarks|Σελιδοδείκτες
Bookmarks Folder|Φάκελος σελιδοδεικτών
Business|Επιχείρηση
Buy!|Αγόρασε!
Calendar|Ημερολόγιο
Calendar Panel|Πάνελ ημερολογίου
Calendar Panel Settings|Ρυθμίσεις πάνελ Ημερολογίου
Call|Κλήση
Call Log|Αναφορά κλήσεων
Cancel|Άκυρο
Celsius (#short)|Κελσίου
Change|Αλλαγή
Change City|Αλλαγή πόλης
Change profile|Αλλαγή προφίλ
Choose Color|Επιλογή χρώματος
Choose Program|Επιλογή προγράμματος
Choose SPB Widget|Επιλογή SPB widget
Choose widget|Επιλογή widget
Clear|Αίθριος
Clock|Ρολόι
Cloudy|Συννεφιασμένος
Cloudy, hail|Συννεφιασμένος με χαλαζόπτωση
Cloudy, heavy rain|Συννεφιασμένος με δυνατή βροχόπτωση
Cloudy, heavy snow|Συννεφιασμένος με δυνατή χιονόπτωση
Cloudy, rain|Συννεφιασμένος με βροχόπτωση
Cloudy, rain with snow|Συννεφιασμένος με χιονόνερο
Cloudy, snow|Συννεφιασμένος με χιονόπτωση
Cloudy, thunder|Συννεφιασμένος με αστραπές
Color anaglyph (red/cyan)|Ανάγλυφο χρώματος (κόκκινο/κυανό)
Communication|Επικοινωνία
Contact|Επαφή
Contacts|Επαφές
Contacts Folder|Φάκελος επαφών
Copyright %s 2007-2011\nSPB Software|Κατοχύρωση %s 2007-2011\nSPB Software
Copyright %s 2007-2012\nSPB Software|Κατοχύρωση %s 2007-2012\nSPB Software
Create Folder|Δημιουργία φακέλου
Current|Τρέχων
Current city|Τρέχουσα πόλη
Current conditions|Τρέχουσες συνθήκες
Current Conditions|Τρέχουσες συνθήκες
Current skin|Τρέχουσα επιφάνεια
Day|Μεσημέρι
Deal of the Day|Συμφωνία της ημέρας
Deal of the Day Panel Settings|Ρυθμίσεις πάνελ Συμφωνία της ημέρας
Deals|Συμφωνίες
December|Δεκέμβριος
Default|Αρχικό
Default Action|Αρχική ενέργεια
Dew point:|Σημείο δρόσου:
Diagnostic tools|Διαγνωστικά εργαλεία
