 a few seconds| nekoliko sekundi
 day| dan
 days| dani
 hour| sat
 hours| sati
 hr| hr
 hrs| satima
 lunar day| lunarni dan
 min| min
 mins| minute
 minute| minuta
 minutes| minute
%d bought|% kupljeno
%d day|%d dan
%d days|%d dana
%d hour|%d sata
%d hours|%d sati
%d minute|%d minute
%d minutes|%d minuta
%d more...|%d više...
%i active channel|% aktivnih kanala
%i active channels|% aktivnih kanala
%i image|% slike
%i images|% slika
%i more today|%i više danas
%i more...|%i više...
%i page|% stranica
%i pages|% stranica
%i%% of Full|%i%% punog mjeseca
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 min)
(in|(u
(in seconds)|(u sekundama)
(No title)|(nema naslova)
[ Loading images... ]|[ Učitavanje slika... ]
[ Tap here for images load ]|[ Ovdje dotaknite za učitavanje slike ]
A few minutes ago|Prije nekoliko minuta
About|O tome
Above horizon|Iznad horizonta
Activate|Aktiviraj
Activation|Aktivacija
Activation failed. Check your Internet connection.|Aktivacija nije uspjela. Provjerite svoju internetsku vezu.
Active Channels|Aktivni kanali
Active channels|Aktivni kanali
Add|Dodaj
Add category|Dodaj kategoriju
Add city|Dodaj grad
Add custom channel|Dodaj prilagođeni kanal
Add new city|Dodaj novi grad
Add note|Dodaj napomenu
Add Panel|Dodaj ploču
Add to Home screen|Dodaj početni zaslon
Airplane|Zrakoplov
Airplane Mode|Način rada zrakoplova
All day|Cijeli dan
All pictures|Sve slike
Allow resizing of all Android widgets|Omogući promjenu dimenzija svih dodataka za android
An hour ago|Prije jednog sata
Android Shortcut|Prečac androida
Android Widget|Dodatak androida
Anniversary|Godišnjica
Appearance|Izgled
Application|Aplikacija
April|Travanj
Aqua|Voda
Aquarius|Vodenjak
Aries|Ovan
as of %s|od %s
at %s|uz %s
atm|atm
Atmospheres|Atmosfera
Atmospheric pressure scale|Ljestvica atmosferskog tlaka
August|Kolovoz
Auto|Auto
Auto (keyboard only)|Auto (samo tipkovnica)
Auto arrange widgets|Automatsko raspoređivanje dodataka
Automatic|Automatski
Automatic naming|Automatsko imenovanje
Backlight|Pozadinsko svjetlo
Battery|Baterija
Below horizon|Ispod horizonta
Birthday|Rođendan
Birthdays|Rođendani
Black|Crno
Blue|Plavo
Bluetooth|Bluetooth
Bookmarks|Knjižne oznake
Bookmarks Folder|Mapa knjižnih oznaka
Business|Poslovno
Buy!|Kupi!
Cache size|Opseg predmemorije
Calculator|Kalkulator
Calendar|Kalendar
Calendar Panel|Ploča kalendara
Calendar Panel Settings|Postavke ploče kalendara
Call|Poziv
Call Log|Zapis poziva
Cancel|Zatvori
Cancer|Rak
Capricorn|Jarac
Categories|Kategorije
Category Name|Naziv kategorije
Celsius (#short)|Celzij
Change|Promjena
Change City|Promijeni grad
Change profile|Promjena profila
Channels list|Popis kanala
Choose Color|Izaberi boju
Choose Program|Izaberi program
Choose SPB Widget|Izaberite SPB dodatak
Choose widget|Izaberite dodatak
Clear|Vedro
Clear cache|Izbriši predmemoriju
Clock|Sat
Cloudy|Oblačno
Cloudy, hail|Oblačno, tuča
Cloudy, heavy rain|Oblačno, jaka kiša
Cloudy, heavy snow|Oblačno, jaki snijeg
Cloudy, rain|Oblačno, kiša
Cloudy, rain with snow|Oblačno, kiša sa snijegom
Cloudy, snow|Oblačno, snijeg
Cloudy, thunder|Oblačno, grmljavina
Color anaglyph (red/cyan)|Boje stereoskopske slike (crveno / cijan)
Communication|Komunikacija
Contact|Kontakt
Contacts|Kontakti
Contacts Folder|Mapa kontakata
Copyright %s 2007-2011\nSPB Software|Autorsko pravo %s 2007-2011\nSPB Software
Copyright %s 2007-2012\nSPB Software|Autorsko pravo %s 2007-2012\nSPB Software
Create Folder|Stvori mapu
Current|Trenutno
Current city|Trenutni grad
Current conditions|Trenutni uvjeti
Current Conditions|Trenutni uvjeti
Current skin|Trenutna površina
Day|Dan
Deal of the Day|Posao dana
Deal of the Day Panel|Ploča za posao dana
Deal of the Day Panel Settings|Postavke ploče za posao dana
Deals|Poslovi
December|Prosinac
Default|Zadano
Delete note|Izbriši napomenu
Dew point:|Rosište:
Diagnostic tools|Dijagnostički alati
Disabled|Onemogućeno
Discoverable|Vidljivo
Done|Učinjeno
Download Original|Preuzimanje izvornika
Downloading images|Preuzimanje slika
E|E
east|istok
Edit channel|Uredi kanal
Edit note|Uredi napomenu
Edit panels|Uređivanje ploča
Emergency only|Samo u hitnom slučaju
Empty Panel|Prazna ploča
Enable live wallpapers|Omogući živu pozadinu
Enabled|Omogućeno
Enter RSS feed title|Unesite naslov RSS kanala
Enter RSS feed URL|Unesite URL RSS kanala
Entertainment|Zabava
Error|Pogreška
Evening|Večer
Every 2 hours|Svaka 2 sata
Every 24 hours|Svaka 24 sata
Every 30 Minutes|Svakih 30 minuta
Every 30 minutes|Svakih 30 minuta
Every 4 hours|Svaka 4 sata
Every hour|Svaki sat
Exit|Izlaz
Experimental|Eksperimentalno
Experimental Settings|Eksperimentalne postavke
Experimental settings|Eksperimentalne postavke
Fahrenheit (#short)|Farenhajt
Failed to load RSS|RSS se nije učitao
Favorite Contacts|Omiljeni kontakti
Favorite contacts|Omiljeni kontakti
February|Veljača
Filter|Filtar
First day of the week|Prvi dan u tjednu
First Quarter|Prva četvrt
Flight|Let
Folder|Mapa
Folder Name|Naziv mape
Forecast|Vremenska prognoza
from forecast|iz vremenske prognoze
Full Moon|Puni mjesec
Gallery|Galerija
Games|Igre
Gemini|Blizanci
Grayscale anaglyph (red/cyan)|Sivi tonovi stereoskopske slike (crveno / cijan)
Green|Zeleno
G-Sensor|G-senzor
Half an hour ago|Prije pola sata
Hectopascals|Hektopaskali
Hide Duplicates|Sakrij duplikate
Hide SIM Contacts|Sakrij SIM kontakte
Home|Početna
Home Settings|Postavke početne stranice
Home settings|Postavke početne stranice
hpa|hpa
Humidity:|Vlažnost:
in %u days|u %u dana
in Home Settings|u početnim postavkama
inch|Inči
Inches|Inči
Increase Counter|Povećajte brojač
Interface mode|Način rada sučelja
Invisible|Nevidljivo
January|Siječanj
July|Srpanj
June|Lipanj
Kilometers per hour|Kilometara na sat
Knots|čvorovi
knots|čvorovi
kph|kph
kts|čv.
Landscape|Krajolik
Landscape orientation required to enable left-to-right stereo mode|Za omogućavanje stereo modusa slijeva-nadesno potrebno je pejzažno usmjerenje
Large|Veliko
Last Call|Zadnji poziv
Last Message|Zadnja poruka
Last Quarter|Zadnja četvrt
Last updated|Zadnje ažuriranje
Left-to-right (HTC EVO 3D)|Slijeva nadesno (HTC EVO 3D)
Legal information|Pravne informacije
Legal notices|Pravne napomene
Leo|Lav
Libra|Vaga
Lifestyle|Životni stil
Live wallpapers can cause performance degradation of your 3D home screen. Switching between live and static wallpapers can take up to a minute. Static wallpapers are recommended for the best experience.|Žive pozadine mogu prouzročiti slabljenje radnih karakteristika Vašeg 3D početnog zaslona. Prebacivanje izmeđi živih i statičnih pozadina može teći do jedne minute. Preporučujemo statične pozadine radi boljeg rada.
Loading failed|Učitavanje nije uspjelo
Loading image for wallpaper|Učitavanje slike za pozadinu
Loading RSS feed %s...|Učitavanje RSS kanala u %s...
Loading skin failed!|Učitavanje površine nije uspjelo!
Loading skins catalog failed!|Učitavanje kataloga površina nije uspjelo!
Loading...|Učitavanje...
Logging In...|Prijava u tijeku...
Lunar Calendar|Lunarni kalendar
Lunar day %d|% lunarnog dana
Manage apps|Upravljanje aplikacijama
Manage Apps|Upravljanje aplikacijama
Manage panels|Upravljanje pločama
Manage Panels|Upravljanje pločama
March|Ožujak
May|Ja
Messaging|Poruke
Meters per second|Metara u sekundi
Miles per hour|Milja na sat
Millimetres|Milimetri
Misc|Razno
Miscellaneous|Razno
mm|mm
Mobile|Mobilni
Mode|Način rada
Monday|Ponedjeljak
Moon|Mjesec
Moon Calendar|Mjesečev kalendar
Moon in %s,|Mjesec u %-cima
Morning|Jutro
mph|mph
mps|mps
Multimedia|Multimedija
Music|Glazba
Music albums|Glazbeni albumi
N|N
N/A|N/P
nd|gi
NE|NE
Network Status|Status mreže
Never|Nikada
New Channel|Novi kanal
New channel|Novi kanal
New Contact|Novi kontakt
New Folder|Nova mapa
New Moon|Novi mjesec
News|Vijesti
News Panel|Ploča s vijestima
News Panel Settings|Postavke ploče s vijestima
next|dalje
Next Alarm|Sljedeći alarm
Night|Noć
No|Ne
no|nema
No Alarms|Nema alarma
No birthdays|Nema rođendana
No calls|Nema poziva
No Cities|Nema gradova
No conditions|Nema uvjeta
No Contacts.|Nema kontakata
No Countries|Nema zemalja
No deals loaded|Nema učitanih poslova
No Images|Nema slika
No messages|Nema poruka
No news|Nema novosti
No rise/set info|Nema informacija o podizanju/položaju
No RSS feed found at|Nije pronađen RSS kanal kod
No rss loaded|Nije se učitao nijedan rss
No SIM|Nema SIM-kartice
No text messages|Nema tekstnih poruka
No title|Nema naslova
No upcoming events|Nema nadolazećih događaja
No upcoming events in a week|Nema nadolazećih događaja u ovom tjednu
No updates|Nema ažuriranja
No weather forecast|Nema vremenske prognoze
Normal|Normalno
north|sjever
north east|sjeveroistok
north west|sjeverozapad
Not available|Nije dostupno
Not connected|Nije priključeno
Notes|Napomene
Note's default color|Zadana boja napomena
Note's font|Font u napomenama
