 a few seconds| pár mp.
 day| nap
 days| napok
 hour| óra
 hours| óra
 hr| ó.
 hrs| ó.
 lunar day| holdnap
 min| p.
 mins| p.
 minute| perc
 minutes| perc
%d bought|%d megvéve
%d day|%d nap múlva
%d days|%d nap múlva
%d hour|%d óra múlva
%d hours|%d óra múlva
%d minute|%d perc múlva
%d minutes|%d perc múlva
%d more...|még %d...
%i active channel|%i aktív csatorna
%i active channels|%i aktív csatorna
%i image|%i kép
%i images|%i kép
%i more today|még %i esemény mára
%i more...|még %i...
%i page|%i oldal
%i pages|%i oldal
%i%% of Full|Holdtölte: %i%%
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 perc)
(in|(hátravan:
(in seconds)|(másodperceken belül)
(No title)|(nincs cím)
[ Loading images... ]|[ Képek betöltése... ]
[ Tap here for images load ]|[ Bökjön ide a képek betöltéséhéz ]
A few minutes ago|Néhány perce
About|Névjegy
About SPB Shell 3D|Az SPB Shell 3D-ről
Above horizon|Horizont fölött
Accelerometer|Gyorsulásérzékelő
Activate|Aktivál
Activation|Aktiválás
Activation failed. Check your Internet connection.|Sikertelen aktiválás. Ellenőrizze az internetkapcsolatát!
Active Channels|Aktív Csatornák
Active channels|Aktív csatornák
Add|Hozzáadás
Add category|Kategória hozzáadása
Add channel|Csatorna hozzáadása
Add city|Város hozzáadása
Add custom channel|Egyedi kategória hozzáadása
Add new city|Új város hozzáadása
Add note|Megjegyzés hozzáadása
Add Panel|Panel hozzáadása
Add to Home screen|Hozzáadás a főképernyőhöz
Airplane|Repülő üzemmód
Airplane Mode|Repülő üzemmód
Alcatel Widget|Alcatel Widget
All day|Egész nap
All pictures|Minden kép
Allow resizing of all Android widgets|Android widgetek átméretezésének engedélyezése
An hour ago|Egy órája
Android Shortcut|Android parancsikon
Android Widget|Android widget
Anniversary|ünnep
Appearance|Megjelenés
Application|Alkalmazás
April|Április
Aqua|Víz
Aquarius|Vízöntő
Aries|Kos
as of %s|%s
at %s|%snál
atm|atm
Atmospheres|Atmoszférák
Atmospheric pressure scale|Légnyomás skála
August|Augusztus
Auto|Automatikus
Auto (keyboard only)|Auto (csak billentyűzet)
Auto arrange widgets|Widgetek automatikus elrendezése
Automatic|Automatikus
Automatic naming|Automatikus elnevezés
Backlight|Háttérvilágítás
Battery|Akku
Below horizon|Horizont alatt
Birthday|Születésnap
Birthdays|Születésnapok
Black|fekete
Blue|Kék
Bluetooth|Bluetooth
Bookmarks|Könyvjelzők
Bookmarks Folder|Könyvjelzők
Business|Üzlet
Buy!|Vásárol!
Cache size|Cache méret
Calculator|Számológép
Calendar|Naptár
Calendar Panel|Naptár panel
Calendar Panel Settings|Naptár panel beállításai
Call|Hívás
Call Log|Hívásnapló
Cancel|Mégsem
Cancer|Rák
Capricorn|Bak
Categories|Kategória
Category Name|Kategória neve
Celsius (#short)|Celsius
Change|Változtat
Change City|Város megváltoztatása
Change profile|Profil megváltoztatása
Channels list|Csatornák listája
Choose Alcatel Widget|Alcatel Widget kiválasztása
Choose Color|Válasszon színt
Choose Program|Válasszon programot
Choose SPB Widget|Válasszon SPB Widgetet
Choose widget|Widget kiválasztása
Clear|Felhőtlen
Clear cache|Cache ürítése
Clock|Óra
Cloudy|Felhős
Cloudy, hail|Felhős, záporok
Cloudy, heavy rain|Felhős, heves eső
Cloudy, heavy snow|Felhős, erős havazás
Cloudy, rain|Felhős, eső
Cloudy, rain with snow|Felhős, havaseső
Cloudy, snow|Felhős, hó
Cloudy, thunder|Felhős, vihar
Color anaglyph (red/cyan)|Szín anaglif (piros/cián)
Communication|Kommunikáció
Contact|Névjegy
Contact Settings|Névjegy beállításai
Contact Size|Névjegy mérete
Contacts|Kapcsolatok
Contacts Folder|Névjegyek mappa
Copyright %s 2007-2011\nSPB Software|Copyright %s 2007-2011\nSPB Software
Copyright %s 2007-2012\nSPB Software|Copyright %s 2007-2012\nSPB Software
Create Folder|Mappa létrehozása
Current|Jelenlegi
Current city|Jelenlegi város
Current conditions|Jelenlegi állapotok
Current Conditions|Jelenlegi állapotok
Current skin|Jelenlegi felület
Custom channel|Egyedi csatorna
Day|Nap
Deal of the Day|Nap üzlete
Deal of the Day Panel|Napi üzlet panel
Deal of the Day Panel Settings|Napi üzlet beállításai
Deals|Üzletek
December|December
Default|Alapértelmezés
Default Action|Alapértelmezett viselkedés
Delete note|Megjegyzés törlése
Dew point:|Harmatpont:
Diagnostic tools|Diagnosztikai eszközök
Disabled|Kikapcsolva
Discoverable|Látható
Done|Kész
Download Original|Eredeti letöltése
