 a few seconds|Beberapa detik
 day|hari
 days|berhari-hari
 hour|jam
 hours|berjam-jam
 hr|hr
 hrs|jam
 lunar day|hari bulan
 min|mnt
 mins|menit
 minute|menit
 minutes|bermenit-menit
%d bought|%d Dibeli
%d day|%d hari
%d days|%d hari-hari
%d hour|%d jam
%d hours|%d jam-jam
%d minute|%d menit
%d minutes|%d menit-menit
%d more...|%d lagi...
%i active channel|%i saluran aktif
%i active channels|%i saluran aktif
%i image|%i gambar
%i images|%i gambar-gambar
%i more today|%i lagi hari ini
%i more...|%i lagi...
%i page|%i laman
%i pages|%i laman-laman
%i%% of Full|%i%% penuh
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 menit)
(in|(dalam
(in seconds)|(dalam detik)
(No title)|(Tidak ada judul)
[ Loading images... ]|[ Muat gambar... ]
[ Tap here for images load ]|[ Tekan di sini untuk muat gambar ]
A few minutes ago|Satu menit yang lalu
About|Tentang
Above horizon|Di atas kaki langit
Activate|Aktifkan
Activation|Aktivasi
Activation failed. Check your Internet connection.|Aktivasi gagal. Periksa koneksi internet Anda.
Active Channels|Saluran Aktif
Active channels|Saluran aktif
Add|Tambah
Add category|Tambah kategori
Add city|Tambah kota
Add custom channel|Tambah saluran suai
Add new city|Tambah kota baru
Add note|Tambah Catatan
Add Panel|Tambah Panel
Add to Home screen|Tambah ke layar Beranda
Airplane|Pesawat Terbang
Airplane Mode|Moda Pesawat Terbang
All day|Sepanjang Hari
All pictures|Semua Gambar
Allow resizing of all Android widgets|Memungkinkan penyesuaian ukuran semua perangkat android
An hour ago|Satu jam yang lalu
Android Shortcut|Pintasan Android
Android Widget|Perkakas Android
Anniversary|Hari Jadi
Appearance|Penampilan
Application|Aplikasi
April|April
Aqua|Aqua
Aquarius|Aquarius
Aries|Aries
as of %s|mulai dari %s
at %s|pada %s
atm|atm
Atmospheres|Atmosfer
Atmospheric pressure scale|Skala tekanan udara
August|Agustus
Auto|Auto
Auto (keyboard only)|Auto (Keyboard saja)
Auto arrange widgets|Mengatur sendiri perkakas
Automatic|Otomatis
Automatic naming|Penamaan Otomatis
Backlight|Lampu Latar
Battery|Baterai
Below horizon|Di bawah kaki langit
Birthday|Hari Ulang Tahun
Birthdays|Hari Ulang Tahun
Black|Hitam
Blue|Biru
Bluetooth|Bluetooth
Bookmarks|Bookmark
Bookmarks Folder|Folder Bookmark
Business|Bisnis
Buy!|Beli!
Cache size|Ukuran tembolok
Calculator|Kalkulator
Calendar|Kalender
Calendar Panel|Panel Kalender
Calendar Panel Settings|Pengaturan Panel Kalender
Call|Panggil
Call Log|Log Panggilan
Cancel|Batal
Cancer|Cancer
Capricorn|Capricorn
Categories|Kategori
Category Name|Nama Kategori
Celsius (#short)|Celsius
Change|Ubah
Change City|Ubah Kota
Change profile|Ganti Profil
Channels list|Daftar saluran
Choose Color|Pilih Warna
Choose Program|Pilih program
Choose SPB Widget|Pilih Perkakas SPB
Choose widget|Pilih Perkakas
Clear|Bersih
Clear cache|Bersihkan tembolok
Clock|Jam
Cloudy|Mendung
Cloudy, hail|Mendung, hujan es
Cloudy, heavy rain|Mendung, hujan lebat
Cloudy, heavy snow|Mendung, salju lebat
Cloudy, rain|Mendung, hujan
Cloudy, rain with snow|Mendung, hujan dengan salju
Cloudy, snow|Mendung, salju
Cloudy, thunder|Mendung, gemuruh
Color anaglyph (red/cyan)|Anaglif warna (merah/sian)
Communication|Komunikasi
Contact|Kontak
Contacts|Kontak
Contacts Folder|Folder Kontak
Copyright %s 2007-2011\nSPB Software|Hak Cipta %s 2007-2011\nSPB Perangkat Lunak
Copyright %s 2007-2012\nSPB Software|Hak Cipta %s 2007-2012\nSPB Perangkat Lunak
Create Folder|Buat Folder
Current|Sekarang
Current city|Kota saat ini
Current conditions|Kondisi Saat ini
Current Conditions|Kondisi Saat ini
Current skin|Tampilan sekarang
Day|Hari
Deal of the Day|Transaksi Hari itu
Deal of the Day Panel|Transaksi Panel Hari itu
Deal of the Day Panel Settings|Transaksi Pengaturan Panel Hari itu
Deals|Transaksi
December|Desember
Default|Asal
Delete note|Hapus Catatan
Dew point:|Titik embun:
Diagnostic tools|Alat Diagnostik
Disabled|Tidak Aktif
Discoverable|Dapat Ditemukan
Done|Selesai
Download Original|Unduh Semula
Downloading images|Unduh Gambar
E|E (timur)
east|timur
Edit channel|Edit saluran
Edit note|Edit catatan
Edit panels|Edit panel
Emergency only|Darurat saja
Empty Panel|Panel Kosong
Enable live wallpapers|Memungkinkan kertas dinding aktif
Enabled|Aktif
Enter RSS feed title|Masukkan judul umpan RSS
Enter RSS feed URL|Masukkan URL pengumpan RSS
Entertainment|Hiburan
Error|Kesalahan
Evening|Sore
Every 2 hours|Setiap 2 Jam
Every 24 hours|Setiap 24 jam
Every 30 Minutes|Setiap 30 menit
Every 30 minutes|Setiap 30 menit
Every 4 hours|Setiap 4 jam
Every hour|Setiap jam
Exit|Keluar
Experimental|Eksperimental
Experimental Settings|Pengaturan eksperimental
Experimental settings|Pengaturan eksperimental
Fahrenheit (#short)|Fahrenheit
Failed to load RSS|Gagal memuat RSS
Favorite Contacts|Kontak favorit
Favorite contacts|Kontak favorit
February|Februari
Filter|Saring
First day of the week|Hari pertama minggu ini
First Quarter|Kuartal Pertama
Flight|Terbang
Folder|Folder
Folder Name|Nama Folder
Forecast|Ramalan
from forecast|dari ramalan
Full Moon|Bulan Purnama
Gallery|Galeri
Games|Permainan
Gemini|Gemini
Grayscale anaglyph (red/cyan)|Anaglif abu-abu (merah/sian)
Green|Hijau
G-Sensor|Sensor-G
Half an hour ago|Setengah jam yang lalu
Hectopascals|Hektopaskal
Hide Duplicates|Sembunyikan Duplikat
Hide SIM Contacts|Sembunyikan kontak SIM
Home|Beranda
Home Settings|Pengaturan Beranda
Home settings|Pengaturan Beranda
hpa|hpa
Humidity:|Kelembapan:
in %u days|dalam %u hari
in Home Settings|di Pengaturan Beranda
inch|Inci
Inches|Inci
Increase Counter|Meningkatkan Konter
Interface mode|Modus Antarmuka
Invisible|Tidak tampak
January|Januari
July|Juli
June|Juni
Kilometers per hour|Kilometer per jam
Knots|knot
knots|knot
kph|kph
kts|kts
Landscape|Pemandangan
Landscape orientation required to enable left-to-right stereo mode|Orientasi Lanskap yang diperlukan untuk memudahkan mode stereo kiri ke kanan
Large|Besar
Last Call|Panggilan Terakhir
Last Message|Pesan Terakhir
Last Quarter|Kuartal Terakhir
Last updated|Diperbarui terakhir
Left-to-right (HTC EVO 3D)|Kiri ke kanan (HTC EVO 3D)
Legal information|Informasi resmi
Legal notices|Pemberitahuan resmi
Leo|Leo
Libra|Libra
Lifestyle|Gaya Hidup
Live wallpapers can cause performance degradation of your 3D home screen. Switching between live and static wallpapers can take up to a minute. Static wallpapers are recommended for the best experience.|Kertas dinding hidup dapat menyebabkan penurunan kinerja dari layar beranda 3D Anda. Mengalihkan antara kertas dinding aktif dengan statis dapat memakan waktu hingga 1 menit. Kertas dinding statis direkomendasikan untuk pengalaman terbaik.
Loading failed|Gagal Memuat
Loading image for wallpaper|Muat gambar untuk kertas dinding
Loading RSS feed %s...|Sedang memuat pengumpan RSS %s...
Loading skin failed!|Gagal muat tampilan!
Loading skins catalog failed!|Gagal muat katalog tampilan!
Loading...|Memuat..
Logging In...|Sedang Log Masuk...
Lunar Calendar|Kalender Bulan
Lunar day %d|Hari bulan %d
Manage apps|Kelola Apps
Manage Apps|Kelola Apps
Manage panels|Kelola panel
Manage Panels|Kelola panel
March|Maret
May|Mei
Messaging|Pesan
Meters per second|Meter per detik
Miles per hour|Mil per jam
Millimetres|Milimeter
Misc|Lain-Lain
Miscellaneous|Lain-Lain
mm|mm
Mobile|Ponsel
Mode|Moda
Monday|Senin
Moon|Bulan
Moon Calendar|Kalender Bulan
Moon in %s,|Bulan di %s,
Morning|Pagi
mph|mph
mps|mps
Multimedia|Multimedia
Music|Musik
Music albums|Album musik
N|N (utara)
N/A|N/A
nd|kedua
NE|NE (timur laut)
Network Status|Status Jaringan
Never|Tidak Pernah
New Channel|Saluran Baru
New channel|Saluran Baru
New Contact|Kontak Baru
New Folder|Folder Baru
New Moon|Bulan Baru
News|Berita
News Panel|Panel Berita
News Panel Settings|Pengaturan Panel Berita
next|berikutnya
Next Alarm|Alarm Berikutnya
Night|Malam
No|Tidak
no|tidak
No Alarms|Tidak Ada Alarm
No birthdays|Tidak ada hari ulang tahun
No calls|Tidak ada panggilan
No Cities|Tidak Ada Kota
No conditions|Tidak ada kondisi
No Contacts.|Tidak ada kontak
No Countries|Tidak Ada Negara
No deals loaded|Tidak ada transaksi yang dimuat
No Images|Tidak ada gambar
No messages|Tidak ada Pesan
No news|Tidak ada berita
No rise/set info|Tidak ada informasi terbit/terbenam
No RSS feed found at|Tidak ditemukan umpan RSS di
