 a few seconds| pochi secondi
 day| giorno
 days| giorni
 hour| ora
 hours| ore
 hr| ora
 hrs|ore
 lunar day| giorno lunare
 min| min
 mins| min
 minute| minuto
 minutes| minuti
%d bought|%d acquistato
%d day|%d giorno
%d days|%d giorni
%d hour|%d ora
%d hours|%d ore
%d minute|%d minuto
%d minutes|%d minuti
%d more...|%d di più...
%i active channel|%i canale attivo
%i active channels|%i canali attivi
%i image|%i immagine
%i images|%i immagini
%i more today|%i in più di oggi
%i more...|più di %i
%i page|%i pagina
%i pages|%i pagine
%i%% of Full|%i%% di intero
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 min)
(in|(tra
(in seconds)|(tra secondi)
(No title)|(Senza titolo)
[ Loading images... ]|[ Caricamento immagini... ]
[ Tap here for images load ]|[ Tappa qui per caricare le immagini ]
A few minutes ago|Alcuni minuti fa
About|Info
About SPB Shell 3D|Info su SPB Shell 3D
Above horizon|Sopra l'orizzonte
Accelerometer|Accellerometro
Activate|Attiva
Activation|Attivazione
Activation failed. Check your Internet connection.|Attivazione fallita. Controlla la tua connessione Internet.
Active Channels|Canali attivi
Active channels|Canali attivi
Add|Aggiungi
Add category|Aggiungi categoria
Add channel|Aggiungi canale
Add city|Aggiungi città
Add custom channel|Aggiungi canale personalizzato
Add new city|Aggiungi nuova città
Add note|Aggiungi nota
Add Panel|Aggiungi pannello
Add to Home screen|Aggiungi alla schermata Home
Airplane|Aeroplano
Airplane Mode|Modalità Aereo
Alcatel Widget|Widget Alcatel
All day|Tutto il giorno
All pictures|Tutte le immagini
Allow resizing of all Android widgets|Permetti ridimensionamento di tutti i widget android
An hour ago|Un'ora fa
Android Shortcut|Android Shortcut
Android Widget|Android Widget
Anniversary|Anniversario
Appearance|Aspetto
Application|Applicazione
April|Aprile
Aqua|Aqua
Aquarius|Acquario
Aries|Ariete
as of %s|come dal %s
at %s|alle %s
atm|atm
Atmospheres|Atmosfere
Atmospheric pressure scale|Scala press. atmosferica
August|Agosto
Auto|Automatico
Auto (keyboard only)|Auto (solo tastiera)
Auto arrange widgets|Sistemazione automatica widgets
Automatic|Automaticamente
Automatic naming|Denominazione automatica
Backlight|Retroilluminazione
Battery|Batteria
Below horizon|Sotto l'orizzonte
Birthday|Compleanno
Birthdays|Compleanni
Black|Nero
Blue|Blu
Bluetooth|Bluetooth
Bookmarks|Segnalibri
Bookmarks Folder|Cartella Segnalibri
Business|Lavoro
Buy!|Compra!
Cache size|Dimensioni cache
Calculator|Calcolatrice
Calendar|Calendario
Calendar Panel|Pannello calendario
Calendar Panel Settings|Impostazioni pannello calendario
Call|Chiamata
Call Log|Log chiamate
Cancel|Annulla
Cancer|Cancro
Capricorn|Capricorno
Categories|Categorie
Category Name|Nome categoria
Celsius (#short)|Celsius
Change|Cambia
Change City|Cambio città
Change profile|Cambio profilo
Channels list|Lista canali
Choose Alcatel Widget|Scegli widget Alcatel
Choose Color|Scegli colore
Choose Program|Scegli programma
Choose SPB Widget|Scegli SPB Widget
Choose widget|Scegli widget
Clear|Sereno
Clear cache|Svuota cache
Clock|orologio
Cloudy|Nuvoloso
Cloudy, hail|Nuvoloso, grandine
Cloudy, heavy rain|Nuvoloso, pioggia intensa
Cloudy, heavy snow|Nuvoloso, neve intensa
Cloudy, rain|Nuvoloso, pioggia
Cloudy, rain with snow|Nuvoloso, pioggia con neve
