 a few seconds| 数秒
 day| 日
 days| 日
 hour| 時間
 hours| 時間
 hr| 時間
 hrs|時間
 lunar day|月齢
 min|分
 mins|分
 minute| 分
 minutes| 分
%d bought|%d 購入済み
%d day|%d 日
%d days|%d 日
%d hour|%d 時間
%d hours|%d 時間
%d minute|%d 分
%d minutes|%d 分
%d more...|%d 以上...
%i active channel|%i アクティブ チャンネル
%i active channels|%i アクティブ チャンネル
%i image|%i イメージ
%i images|%i イメージ
%i more today|今日から %i
%i more...|%i  詳細...
%i page|%i ページ
%i pages|%i ページ
%i%% of Full|%i%% 満月
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 分)
(in|(
(in seconds)|(秒)
(No title)|(タイトルなし)
[ Loading images... ]|[ イメージロード中... ]
[ Tap here for images load ]|[ タップしてイメージをロード ]
A few minutes ago|数分前
About|バージョン情報
About SPB Shell 3D|SPB Shell 3D情報
Above horizon|水平線上
Accelerometer|加速度計
Activate|アクティベート
Activation|アクティベーション
Activation failed. Check your Internet connection.|アクティベーションに失敗しました。インターネット接続を確認してください。
Active Channels|アクティブ チャンネル
Active channels|アクティブ チャンネル
Add|追加
Add category|カテゴリの追加
Add channel|チャンネルの追加
Add city|都市を追加
Add custom channel|カスタムチャンネルの追加
Add new city|新しい都市の追加
Add note|メモの追加
Add Panel|パネルの追加
Add to Home screen|ホーム画面の追加
Airplane|飛行機
Airplane Mode|機内モード
Alcatel Widget|アルカテルウィジェット
All day|終日
All pictures|すべての画像
Allow resizing of all Android widgets|すべてのアンｄロイド　ウィジェットのリサイズを許可
An hour ago|1時間前
Android Shortcut|アンドロイド　ショートカット
Android Widget|アンドロイド　ウィジェット
Anniversary|記念日
Appearance|表示形式
Application|アプリケーション
April|4月
Aqua|アクア
Aquarius|みずがめ座
Aries|おひつじ座
as of %s|/ %s
at %s|at %s
atm|気圧
Atmospheres|大気
Atmospheric pressure scale|大気圧スケール
August|8月
Auto|自動
Auto (keyboard only)|自動 (キーボードのみ)
Auto arrange widgets|ウィジェットの自動配置
Automatic|自動
Automatic naming|自動名前付け
Backlight|バックライト
Battery|バッテリー
Below horizon|水平線下
Birthday|誕生日
Birthdays|誕生日
Black|黒 (くろ)
Blue|青 (あお)
Bluetooth|Bluetooth
Bookmarks|ブックマーク
Bookmarks Folder|ブックマークフォルダ
Business|ビジネス
Buy!|購入!
Cache size|キャッシュサイズ
Calculator|電卓
Calendar|カレンダー
Calendar Panel|カレンダーパネル
Calendar Panel Settings|予定表パネルの設定
Call|電話
Call Log|通話ログ
Cancel|キャンセル
Cancer|かに座
Capricorn|やぎ座
Categories|カテゴリ
Category Name|カテゴリ名
Celsius (#short)|摂氏
Change|変更
Change City|都市の変更
Change profile|プロファイルの変更
Channels list|チャンネルリスト
Choose Alcatel Widget|アルカテルウィジェットを選択してください
Choose Color|色の選択
Choose Program|プログラムの選択
Choose SPB Widget|SPBウィジェットの選択
Choose widget|ウィジェットの選択
Clear|晴天
Clear cache|キャッシュの削除
Clock|時計 (とけい)
Cloudy|曇り
Cloudy, hail|曇り,あられ
Cloudy, heavy rain|曇り,豪雨
Cloudy, heavy snow|曇り,豪雪
Cloudy, rain|曇り,雨
Cloudy, rain with snow|曇り,雨と雪
Cloudy, snow|曇り,雪
Cloudy, thunder|曇り,雷
Color anaglyph (red/cyan)|カラー立体写真（赤/シアン)
Communication|コミュニケーション
Contact|連絡先
Contact Settings|連絡先の設定
Contact Size|連絡先のサイズ
Contacts|連絡先
Contacts Folder|連絡先フォルダ
Copyright %s 2007-2011\nSPB Software|Copyright %s 2007-2011\nSPB Software
Copyright %s 2007-2012\nSPB Software|Copyright %s 2007-2012\nSPB Software
Create Folder|フォルダの作成
Current|現在
Current city|現在の都市
Current conditions|現況
Current Conditions|現在の状態
Current skin|現在のスキン
Custom channel|カスタムチャネル
Day|昼
Deal of the Day|本日の記事
Deal of the Day Panel|今日の記事パネル
Deal of the Day Panel Settings|本日の記事設定
Deals|記事
December|12月
Default|デフォルト
Default Action|デフォルトアクション
Delete note|メモの削除
Dew point:|露点温度
Diagnostic tools|診断ツール
Disabled|無効
Discoverable|検出可能
Done|完了
Download Original|オリジナルのダウンロード
Downloading images|イメージのダウンロード
E|E
east|東
Edit channel|チャンネル編集
Edit Contact|連絡先編集
Edit note|メモの編集
Edit panels|パネルの編集
Emergency only|緊急時のみ
Empty Panel|空のパネル
Enable live wallpapers|ライブ壁紙を有効化
Enabled|有効
Enter RSS feed title|RSSフィードタイトルの入力
Enter RSS feed URL|RSSフィードURLの入力
Entertainment|エンターテイメント
Error|エラー
Evening|夕方
Every 2 hours|2時間毎
Every 24 hours|24時間毎
Every 30 Minutes|30分毎
Every 30 minutes|30分毎
Every 4 hours|4時間毎
Every hour|毎時
Exit|終了
Experimental|試験的
Experimental Settings|実験的な設定
Experimental settings|実験的な設定
Fahrenheit (#short)|華氏
Failed to add contact|連絡先を追加の失敗
