 a few seconds| 몇 초
 day|일
 days|일
 hour|시간
 hours|시간
 hr| 시간
 hrs|시간
 lunar day| 음력일
 min|분
 mins| 분
 minute|분
 minutes|분
%d bought|%d 구매
%d day|%d일
%d days|%d일
%d hour|%d시간
%d hours|%d시간
%d minute|%d분
%d minutes|%d분
%d more...|%d 이상...
%i active channel|%i 활성화 채널
%i active channels|%i 활성화 채널
%i image|%i 이미지
%i images|%i 이미지
%i more today|오늘 %i개+
%i more...|%i개+...
%i page|%i쪽
%i pages|%i쪽
%i%% of Full|%i%% / 보름달
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 분)
(in|(다음:
(in seconds)|(<10 초)
(No title)|(제목 없음)
[ Loading images... ]|[ 이미지 불러오는 중... ]
[ Tap here for images load ]|[ 이미지를 불러오려면 여기를 누르세요 ]
A few minutes ago|몇 분 전
About|정보
About SPB Shell 3D|SPB Shell 3D 정보
Above horizon|지평선 위
Accelerometer|가속도계
Activate|활성화
Activation|인증
Activation failed. Check your Internet connection.|인증을 실패했습니다. 인터넷 연결을 확인해주세요.
Active Channels|활성화 채널
Active channels|채널 활성화
Add|추가
Add category|카테고리 추가
Add channel|채널 추가
Add city|도시 추가
Add custom channel|사용자 지정 채널 추가
Add new city|새 도시 추가
Add note|메모 추가
Add Panel|패널 추가
Add to Home screen|초기 화면에 추가
Airplane|비행기
Airplane Mode|비행기 모드
Alcatel Widget|Alcatel 위젯
All day|하루 종일
All pictures|모든 그림
Allow resizing of all Android widgets|모든 안드로이드 위젯 크기 조정 사용
An hour ago|한 시간 전
Android Shortcut|안드로이드 바로 가기
Android Widget|안드로이드 위젯
Anniversary|기념일
Appearance|모양
Application|응용 프로그램
April|4월
Aqua|아쿠아
Aquarius|Aquarius
Aries|Aries
as of %s|/날짜: %s
at %s|/장소: %s
atm|atm
Atmospheres|대기
Atmospheric pressure scale|대기 압력 단위
August|8월
Auto|자동
Auto (keyboard only)|자동 (키보드)
Auto arrange widgets|위젯 자동 정렬
Automatic|자동
Automatic naming|자동 이름 짓기
Backlight|조명
Battery|배터리
Below horizon|지평선 아래
Birthday|생일
Birthdays|생일
Black|검은색
Blue|파란색
Bluetooth|Bluetooth
Bookmarks|북마크
Bookmarks Folder|북마크 폴더
Business|비지니스
Buy!|구매!
Cache size|캐시 크기
Calculator|계산기
Calendar|달력
Calendar Panel|달력 패널
Calendar Panel Settings|달력 패널 설정
Call|전화 걸기
Call Log|통화 기록
Cancel|취소
Cancer|Cancer
