 a few seconds| kelios sek.
 day| diena
 days| dienos
 hour| val.
 hours| valandos
 hr| val
 hrs| val.
 lunar day| mėnulio diena
 min| min.
 mins| min.
 minute| min.
 minutes| minutės
%d bought|Įsigyta %d
%d day|%d diena
%d days|%d dienos (-ų)
%d hour|%d valanda
%d hours|%d valandos
%d minute|%d minutė
%d minutes|%d minutės
%d more...|%d daugiau...
%i active channel|Aktyvus kanalas: %i
%i active channels|Aktyvūs kanalai: %i
%i image|%i vaizd.
%i images|%i vaizd.
%i more today|Šiandien dar %i
%i more...|Dar %i...
%i page|%i psl.
%i pages|%i psl.
%i%% of Full|%i%% pilno
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(< 1 min.)
(in|(už
(in seconds)|(sek.)
(No title)|(pavadinimo nėra)
[ Loading images... ]|[ Įkeliami vaizdai... ]
[ Tap here for images load ]|[ Bakstelėkite čia įkelti vaizdus ]
A few minutes ago|Prieš kelias minutes
About|Apie
Above horizon|Virš horizonto
Activate|Aktyvinti
Activation|Aktyvinimas
Activation failed. Check your Internet connection.|Suaktyvinti nepavyko. Patikrinkite interneto ryšį.
Active Channels|Aktyvūs kanalai
Active channels|Aktyvūs kanalai
Add|Pridėti
Add category|Pridėti kategoriją
Add city|Pridėti miestą
Add custom channel|Pridėti pasirinktą kanalą
Add new city|Pridėti naują miestą
Add note|Pridėti pastabą
Add Panel|Pridėti ekraną
Add to Home screen|Pridėti į pagrindinį ekraną
Airplane|Lėktuvas
Airplane Mode|Skrydžio režimas
All day|Visą dieną
All pictures|Visi paveikslėliai
Allow resizing of all Android widgets|Leisti keisti dydį visose Androi programėlėse
An hour ago|Prieš valandą
Android Shortcut|Android nuoroda
Android Widget|Android programėlė
Anniversary|Jubiliejus
Appearance|Išvaizda
Application|Naudojimas
April|Balandis
Aqua|Žydra
Aquarius|Vandenis
Aries|Avinas
as of %s|nuo %s
at %s|%s
atm|atm
Atmospheres|Atmosferos
Atmospheric pressure scale|Atmosferos slėgio skalė
August|Rugpjūtis
Auto|Automatinis
Auto (keyboard only)|Automatinis (tik klaviatūra)
Auto arrange widgets|Automatiškai išdėstyti programėles
Automatic|Automatinis
Automatic naming|Autom. pavadinimas
Backlight|Fono apšvietimas
Battery|Baterija
Below horizon|Žemiau horizonto
Birthday|Gimtadienis
Birthdays|Gimtadieniai
Black|Juoda
Blue|Mėlyna
Bluetooth|„Bluetooth“
Bookmarks|Žymės
Bookmarks Folder|Žymių aplankas
Business|Verslo
Buy!|Pirkti!
Cache size|Talpyklos dydis
Calculator|Skaičiuotuvas
Calendar|Kalendorius
Calendar Panel|Kalendoriaus ekranas
Calendar Panel Settings|Kalendoriaus ekrano nustatymai
Call|Skambinti
Call Log|Skamb. žurnalas
Cancel|Atšaukti
Cancer|Vėžys
Capricorn|Ožiaragis
Categories|Kategorijos
Category Name|Kategorijos pavadinimas
Celsius (#short)|Celsijaus
Change|Pakeisti
Change City|Keisti miestą
Change profile|Keisti profilį
Channels list|Kanalų sąrašas
Choose Color|Keisti spalvą
Choose Program|Rinktis programą
Choose SPB Widget|Rinktis SPB valdiklį
Choose widget|Rinktis programėlę
Clear|Giedra
Clear cache|Valyti talpyklą
Clock|Laikrodis
Cloudy|Debesuota
Cloudy, hail|Debesuota, kruša
Cloudy, heavy rain|Debesuota, smarkus lietus
Cloudy, heavy snow|Debesuota, stiprus sniegas
Cloudy, rain|Debesuota, lietus
Cloudy, rain with snow|Debesuota, lietus su sniegu
Cloudy, snow|Debesuota, sniegas
Cloudy, thunder|Debesuota, perkūnija
Color anaglyph (red/cyan)|Spalvotas persidengiantis vaizdas (raudona / žydra)
Communication|Ryšiai
Contact|Kontaktas
