 a few seconds| dažas sekundes
 day| diena
 days| dienas
 hour| stunda
 hours| stundas
 hr| st.
 hrs| st.
 lunar day| mēness diena
 min| min.
 mins| min.
 minute| minūte
 minutes| minūtes
%d bought|%d nopirkti
%d day|%d diena
%d days|%d dienas
%d hour|%d stunda
%d hours|%d stundas
%d minute|%d minūte
%d minutes|%d minūtes
%d more...|Vēl %d...
%i active channel|%i aktīvs kanāls
%i active channels|%i aktīvie kanāli
%i image|%i attēls
%i images|%i attēli
%i more today|vēl %i šodien
%i more...| %i vairāk...
%i page|%i lapa
%i pages|%i lapas
%i%% of Full|%i%% no visa
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 min.)
(in|(pēc
(in seconds)|(pēc sekundēm)
(No title)|(Nav nosaukuma)
[ Loading images... ]|[ Notiek attēlu ielāde... ]
[ Tap here for images load ]|[ Pieskarties šeit, lai ielādētu attēlus ]
A few minutes ago|Pirms dažām minūtēm
About|Par
Above horizon|Virs horizonta
Activate|Aktivizēt
Activation|Aktivizēšana
Activation failed. Check your Internet connection.|Aktivizēšana neizdevās. Pārbaudiet interneta savienojumu.
Active Channels|Aktīvie kanāli
Active channels|Aktīvie kanāli
Add|Pievienot
Add category|Pievienot kategoriju
Add city|Pievienot pilsētu
Add custom channel|Pievienot pielāgotu kanālu
Add new city|Pievienot jaunu pilsētu
Add note|Pievienot piezīmi
Add Panel|Pievienot paneli
Add to Home screen|Pievienot sākuma ekrānam
Airplane|Lidmašīna
Airplane Mode|Lidmašīnas režīms
All day|Visu dienu
All pictures|Visi attēli
Allow resizing of all Android widgets|Atļaut visu android logrīku izmēru maiņu
An hour ago|Pirms stundas
Android Shortcut|Android saīsne
Android Widget|Android logrīks
Anniversary|Gadadiena
Appearance|Izskats
Application|Lietojumprogramma
April|Aprīlis
Aqua|Ūdenszils
Aquarius|Ūdensvīrs
Aries|Auns
as of %s|no %s
at %s|%s
atm|atm
Atmospheres|Atmosfēras
Atmospheric pressure scale|Atmosfēras spiediena skala
