 a few seconds| câteva secunde
 day|zi
 days|zile
 hour|oră
 hours|ore
 hr| h
 hrs|ore
 lunar day|zi lunară
 min|min
 mins| minute
 minute|minut
 minutes|minute
%d bought|%d cumpărat
%d day|%d zi
%d days|%d zile
%d hour|%d oră
%d hours|%d ore
%d minute|%d minut
%d minutes|%d minute
%d more...|%d mai multe...
%i active channel|%i canal activ
%i active channels|%i canale active
%i image|%i imagine
%i images|%i imagini
%i more today|%i mai multe astăzi
%i more...|încă %i...
%i page|%i pagină
%i pages|%i pagini
%i%% of Full|%i%% din întreg
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 min)
(in|(în
(in seconds)|(în secunde)
(No title)|(Fără titlu)
[ Loading images... ]|[Imagini în curs de încărcare... ]
[ Tap here for images load ]|[Atingeți aici pentru încărcarea imaginilor]
A few minutes ago|Cu câteva minute în urmă
About|Despre
Above horizon|Deasupra orizontului
Activate|Activează
Activation|Activare
Activation failed. Check your Internet connection.|Activare eșuată. Verificați conexiunea la internet.
Active Channels|Canale active
Active channels|Canale active
Add|Adăugare
Add category|Adăugare categorie
Add city|Adăugare oraș
Add custom channel|Adăugare canal personalizat
Add new city|Adăugare oraș nou
Add note|Adăugare notiță
Add Panel|Adăugare panou
Add to Home screen|Adăugare la ecranul Acasă
Airplane|Avion
Airplane Mode|Mod avion
All day|Întreaga zi
All pictures|Toate fotografiile
Allow resizing of all Android widgets|Permiteţi redimensionarea tuturor widget-urilor Android
An hour ago|Cu o oră în urmă
Android Shortcut|Scurtătură Android
Android Widget|Widget Android
Anniversary|Aniversare
Appearance|Aspect
Application|Aplicație
April|Aprilie
Aqua|Acvatic
Aquarius|Vărsător
Aries|Berbec
as of %s|la %s
at %s|la %s
atm|atm
Atmospheres|Atmosfere
Atmospheric pressure scale|Scala presiunii atmosferice
August|August
Auto|Auto
Auto (keyboard only)|Auto (numai tastatura)
Auto arrange widgets|Aranjare automată widget-uri
Automatic|Automat
Automatic naming|Numire automată
Backlight|Lumină de fundal
Battery|Baterie
Below horizon|Sub orizont
Birthday|Zi de naștere
Birthdays|Zile de naștere
Black|Negru
Blue|Albastru
Bluetooth|Bluetooth
Bookmarks|Semne de carte
Bookmarks Folder|Dosar semne de carte
Business|Business
Buy!|Cumpără!
Cache size|Dimensiune cache
Calculator|Calculator
Calendar|Calendar
Calendar Panel|Panou calendar
Calendar Panel Settings|Setări panou calendar
Call|Apelare
Call Log|Jurnal apeluri
Cancel|Anulare
Cancer|Rac
Capricorn|Capricorn
Categories|Categorii
Category Name|Denumire categorie
Celsius (#short)|Celsius
Change|Modificare
Change City|Schimbare oraș
Change profile|Schimbare profil
Channels list|Listă canale
Choose Color|Alegere culoare
Choose Program|Alegere program
Choose SPB Widget|Alegeți widget-ul SPB
Choose widget|Alegere widget
Clear|Ștergere
Clear cache|Ștergere cache
Clock|Ceas
Cloudy|Noros
Cloudy, hail|Noros, grindină
Cloudy, heavy rain|Noros, ploaie torențială
Cloudy, heavy snow|Noros, ninsoare abundentă
Cloudy, rain|Noros, ploaie
Cloudy, rain with snow|Noros, lapoviță
Cloudy, snow|Noros, ninsoare
Cloudy, thunder|Noros, tunete
Color anaglyph (red/cyan)|Anaglife color (roșu/bleu)
Communication|Comunicare
Contact|Contact
Contacts|Agendă telefonică
Contacts Folder|Dosar agendă telefonică
Copyright %s 2007-2011\nSPB Software|Copyright %s 2007-2011\nSPB Software
Copyright %s 2007-2012\nSPB Software|Copyright %s 2007-2012\nSPB Software
Create Folder|Creare dosar
Current|Actual
Current city|Oraș actual
Current conditions|Condiții Actuale
Current Conditions|Condiții Actuale
Current skin|Fațeta actuală
Day|Zi
Deal of the Day|Afacerea zilei
Deal of the Day Panel|Panou Afacerea zilei
Deal of the Day Panel Settings|Setări panou Afacerea zilei
Deals|Afaceri
December|Decembrie
Default|Predefinit
Delete note|Ștergere notiță
Dew point:|Punct de rouă:
Diagnostic tools|Instrumente diagnostic
Disabled|Dezactivat
Discoverable|Identificabil
Done|Efectuat
Download Original|Descărcare original
Downloading images|Descărcare imagini
E|E
east|est
Edit channel|Editare canal
Edit note|Modificare notiță
Edit panels|Editare panouri
