 a few seconds|неколку секунди
 day|ден
 days|денови
 hour|час
 hours|часови
 hr| час
 hrs|час
 lunar day|лунарен ден
 min|мин
 mins|минути
 minute|минута
 minutes|минути
%d bought|%d купено
%d day|%d ден
%d days|%d дена
%d hour|%d час
%d hours|%d часа
%d minute|%d минута
%d minutes|%d минути
%d more...|%d уште...
%i active channel|%i активен канал
%i active channels|%i активни канали
%i image|%i слика
%i images|%i слики
%i more today|уште %i денес
%i more...|%i уште...
%i page|%i страна
%i pages|%i страни
%i%% of Full|%i%% од цел
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 мин)
(in|(во
(in seconds)|(во секунди)
(No title)|(Нема наслов)
[ Loading images... ]|[ Се вчитуваат слики... ]
[ Tap here for images load ]|[ Потчукнете овде за вчитување слики ]
A few minutes ago|Пред неколку минути
About|За
Above horizon|Над хоризонтот
Activate|Активирај
Activation|Активирање
Activation failed. Check your Internet connection.|Активирањето не успеа. Проверете ја вашата интернет врска.
Active Channels|Активни канали
Active channels|Активни канали
Add|Додај
Add category|Додај категорија
Add city|Додај град
Add custom channel|Додај вообичаен канал
Add new city|Додај нов град
Add note|Додај белешка
Add Panel|Додај панел
Add to Home screen|Додај на почетниот екран
Airplane|Авион
Airplane Mode|Режим за авион
All day|Цел ден
All pictures|Сите фотографии
Allow resizing of all Android widgets|Овозможи промена на големината на сите додатоци за андроид
An hour ago|Пред еден саат
Android Shortcut|Андроид кратенка
Android Widget|Андроид графички контроли
Anniversary|Годишнина
Appearance|Изглед
Application|Апликација
April|Април
Aqua|Вода
Aquarius|Водолија
Aries|Овен
as of %s|од %s
at %s|во %s
atm|атм
Atmospheres|Атмосфери
Atmospheric pressure scale|Скала за атмосферски притисок
August|Август
Auto|Автоматски
Auto (keyboard only)|Автоматски (само тастатура)
Auto arrange widgets|Автоматско организирање графички контроли
Automatic|Автоматски
Automatic naming|Автоматско именување
Backlight|Позадинско светло
Battery|Батерија
Below horizon|Под хоризонтот
Birthday|Роденден
Birthdays|Родендени
Black|Црно
Blue|Сино
Bluetooth|Bluetooth
Bookmarks|Обележувачи
Bookmarks Folder|Папка со обележувачи
Business|Бизнис
Buy!|Купи!
Cache size|Кеширана големина
Calculator|Дигитрон
Calendar|Календар
Calendar Panel|Панел со календар
Calendar Panel Settings|Поставки за панелот со календар
Call|Повик
Call Log|Дневник за повици
Cancel|Откажи
Cancer|Рак
Capricorn|Јарец
Categories|Категории
Category Name|Име на категорија
Celsius (#short)|Целзиус
Change|Смени
Change City|Смени град
Change profile|Смени профил
Channels list|Листа со канали
Choose Color|Одбери боја
Choose Program|Одбери програма
Choose SPB Widget|Одбери SPB графичка контрола
Choose widget|Одбери графичка контрола
Clear|Јасно
Clear cache|Избриши кеш
Clock|Часовник
Cloudy|Облачно
Cloudy, hail|Облачно, град
Cloudy, heavy rain|Облачно, пороен дожд
Cloudy, heavy snow|Облачно, обилни снежни врнежи
Cloudy, rain|Облачно, дожд
Cloudy, rain with snow|Облачно, дожд со снег
