 a few seconds|een paar seconden
 day| dag
 days| dagen
 hour| uur
 hours| uren
 hr| uur
 hrs| uren
 lunar day| maan dag
 min| min
 mins|minuten
 minute| minuut
 minutes| minuten
%d bought|%d gekocht
%d day|%d dag
%d days|%d dagen
%d hour|%d uur
%d hours|%d uren
%d minute|%d minuut
%d minutes|%d minuten
%d more...|%d meer...
%i active channel|%i actief kanaal
%i active channels|%i actieve kanalen
%i image|%i afbeelding
%i images|%i afbeeldingen
%i more today|%i meer vandaag
%i more...|%i meer...
%i page|%i pagina
%i pages|%i pagina's
%i%% of Full|%i%% van de volledige cyclus
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 min)
(in|(binnen
(in seconds)|(binnen seconden)
(No title)|(Geen titel)
[ Loading images... ]|[ Afbeeldingen laden... ]
[ Tap here for images load ]|[ Tap hier om afbeeldingen in te laden ]
A few minutes ago|Een paar minuten geleden
About|Over
About SPB Shell 3D|Over SPB Shell 3D
Above horizon|Boven de horizon
Accelerometer|Accelerometer
Activate|Activeren
Activation|Activatie
Activation failed. Check your Internet connection.|Activatie mislukt. Controleer uw internet verbinding.
Active Channels|Actieve Kalalen
Active channels|Actieve kanalen
Add|Toevoegen
Add category|Categorie toevoegen
Add channel|Kanaal toevoegen
Add city|Stad toevoegen
Add custom channel|Persoonlijke kanaal toevoegen
Add new city|Nieuwe stad toevoegen
Add note|Notitie toevoegen
Add Panel|Toevoegen Paneel
Add to Home screen|Toevoegen aan Home scherm
Airplane|Vliegtuig
Airplane Mode|Vliegtuigmodus
Alcatel Widget|Alcatel widget
All day|Duurt hele dag
All pictures|Alle afbeeldingen
Allow resizing of all Android widgets|Herschalen van alle Android widgets toestaan
An hour ago|Een uur geleden
Android Shortcut|Android Snelkoppeling
Android Widget|Android Widget
Anniversary|Feestdag
Appearance|Uiterlijk
Application|Applicatie
April|April
Aqua|Aqua
Aquarius|Waterman
Aries|Ram
as of %s|vanaf %s
at %s|op %s
atm|atm
Atmospheres|Atmosfeer
Atmospheric pressure scale|Atmosferische drukschaal
August|Augustus
Auto|Automatisch
Auto (keyboard only)|Auto (alleen toetsenbord)
Auto arrange widgets|Automatisch rangschikken widgets
Automatic|Automatisch
Automatic naming|Automatische naamgeving
Backlight|Achtergrondverlichting
Battery|Batterij
Below horizon|Onder de horizon
Birthday|Geboortedag
Birthdays|Geboortedagen
Black|Zwart
Blue|Blauw
Bluetooth|Bluetooth
Bookmarks|Bladwijzers
Bookmarks Folder|Favorieten Map
Business|Business
Buy!|Kopen!
Cache size|Cache grootte
Calculator|Rekenmachine
Calendar|Agenda
Calendar Panel|Kalender Paneel
Calendar Panel Settings|Kalender Paneel Instellingen
Call|Bellen
Call Log|Oproephistorie
Cancel|Annuleren
Cancer|Kreeft
Capricorn|Steenbok
Categories|Categorieën
Category Name|Categorie naam
Celsius (#short)|Celsius
Change|Wijzigen
Change City|Stad wijzigen
Change profile|Wijzig Profiel
Channels list|Kanalen lijst
Choose Alcatel Widget|Kies Alcatel widget
Choose Color|Kleur kiezen
Choose Program|Kies programma
Choose SPB Widget|Kies SPB Widget
Choose widget|Kies Widget
Clear|Helder
Clear cache|Cache legen
Clock|Klok
Cloudy|Bewolkt
Cloudy, hail|Bewolkt, hagel
Cloudy, heavy rain|Bewolkt, hevige regen
Cloudy, heavy snow|Bewolkt, hevige sneeuw
Cloudy, rain|Bewolkt, regen
Cloudy, rain with snow|Bewolkt, regen en sneew
Cloudy, snow|Bewolkt, sneeuw
Cloudy, thunder|Bewolkt, onweer
Color anaglyph (red/cyan)|Kleuren anaglief (rood/cyan)
Communication|Communicatie
Contact|Contactpersoon
Contact Settings|Contacten instellingen
Contact Size|Contact grootte
Contacts|Contactpersonen
Contacts Folder|Contacten map
Copyright %s 2007-2011\nSPB Software|Copyright %s 2007-2011\nSPB Software
Copyright %s 2007-2012\nSPB Software|Copyright %s 2007-2012\nSPB Software
Create Folder|Map aanmaken
Current|Huidig
Current city|Huidige stad
Current conditions|Huidige Condities
Current Conditions|Huidige Condities
Current skin|Huidige skin
Custom channel|Persoonlijke kanaal
Day|Dag
Deal of the Day|Deal van de dag
Deal of the Day Panel|Deal van de Dag Paneel
Deal of the Day Panel Settings|Deal van de Dag Paneel Instellingen
Deals|Aanbiedingen
December|December
Default|Standaard
Default Action|Standaard Actie
Delete note|Notitie verwijderen
Dew point:|Dauwpunt
Diagnostic tools|Diagnostische tools
Disabled|Uitgeschakeld
Discoverable|Herkenbaar
Done|Gereed
Download Original|Download Origineel
Downloading images|Downloaden afbeeldingen
E|O
east|Oosten
Edit channel|Kanaal bewerken
Edit Contact|Contactpersoon bewerken
Edit note|Notitie bewerken
Edit panels|Panelen bewerken
Emergency only|Alleen in noodgevallen
Empty Panel|Leeg Paneel
Enable live wallpapers|Inschakelen live wallpapers
Enabled|Ingeschakeld
Enter RSS feed title|Voer RSS feed titel in
Enter RSS feed URL|Voer RSS feed URL in
Entertainment|Vermaak
Error|Fout
Evening|Avond
Every 2 hours|Elke 2 uur
Every 24 hours|Elke 24 Uur
Every 30 Minutes|Elke 30 Minuten
Every 30 minutes|Elke 30 minuten
Every 4 hours|Elke 4 uur
Every hour|Elk uur
Exit|Afsluiten
Experimental|Experimenteel
Experimental Settings|Experimentele Instellingen
Experimental settings|Experimentele instellingen
Fahrenheit (#short)|Fahrenheit
Failed to add contact|Contact toevoegen mislukt
Failed to load RSS|Laden RSS niet gelukt
Failed to load the selected contact. Try to link the contact to Google account or save it to phone.|Laden van geselecteerde contact is mislukt. Probeer om contact te linken aan Google account of bewaar deze direct op de telefoon.
Favorite Contacts|Favoriete Contactpersonen
Favorite contacts|Favoriete Contactpersonen
Favorites|Favorieten
February|Februari
Filter|Filteren
First day of the week|Eerste dag van de week
First Quarter|Eerste kwart
Flight|Vlucht
Folder|Map
Folder Name|Naam map
Forecast|Voorspelling
from forecast|van voorspelling
Full Moon|Volle maan
Gallery|Gallerij
Games|Spelletjes
Gemini|Tweeling
Gravity|Zwaartekracht
Grayscale anaglyph (red/cyan)|Grijstinten anaglief (rood/cyan)
Green|Groen
G-Sensor|G-Sensor
Half an hour ago|Een half uur geleden
Hectopascals|Hectopascal
Hide Duplicates|Verberg Dubbelen
Hide SIM Contacts|SIM Contacten verbergen
Home|Home
Home Settings|Home Instellingen
Home settings|Home Instellingen
hpa|hPa
Humidity:|Vochtigheid:
in %u days|binnen %u dagen
in Home Settings|in Home instellingen
inch|inch
Inches|Inch
Increase Counter|Toenemen Teller
Interface mode|Interface modus
Invisible|Onzichtbaar
January|Januari
July|Juli
June|Juni
Kilometers per hour|Kilometers per uur
Knots|Knopen
knots|knopen
kph|km/h
kts|kts
Landscape|Liggend
Landscape orientation required to enable left-to-right stereo mode|Landschap oriëntatie vereist om links-naar-rechts stereo modus te activeren
Large|Groot
Last Call|Laatste oproep
Last Message|Laatste bericht
Last Quarter|Laatste Kwart
Last updated|Laatst geupdate
Left-to-right (HTC EVO 3D)|Links-naar-rechts (HTC EVO 3D)
Legal information|Juridische informatie
Legal notices|Juridische mededeling
Leo|Leeuw
Libra|Weegschaal
Lifestyle|Lifestyle
Live wallpapers can cause performance degradation of your 3D home screen. Switching between live and static wallpapers can take up to a minute. Static wallpapers are recommended for the best experience.|Live wallpapers kunnen een afname van prestatie van je 3D home screen veroorzaken. Wisselen tussen live en statische wallpapers kan tot een minuut duren. Statische wallpapers zijn aanbevolen voor de beste gebruikerservaring.
Loading failed|Laden Mislukt
Loading image for wallpaper|Afbeelding laden als achtergrond
Loading RSS feed %s...|RSS feed aan het laden %s...
Loading skin failed!|Laden skin mislukt!
Loading skins catalog failed!|Laden skin catalogus mislukt!
Loading...|Laden...
Logging In...|Inloggen...
Lunar Calendar|Maand Kalender
Lunar day %d|maan dag %d
Manage apps|Manage applicaties
Manage Apps|Manage Applicaties
Manage panels|Manage panelen
Manage Panels|Panelen Beheren
March|Maart
May|Mei
Medium|Gemiddeld
Messaging|Berichten
Meters per second|Meters per seconde
Miles per hour|Mijlen per uur
Millimetres|Milimeters
Misc|Diversen
Miscellaneous|Diversen
mm|mm
Mobile|Mobiel
Mode|Modus
Monday|Maandag
Moon|Maan
Moon Calendar|Maan kalender
Moon in %s,|Maan over %s,
Morning|Ochtend
mph|m/h
mps|m/s
Multimedia|Multimedia
Music|Muziek
Music albums|Muziek albums
N|N
N/A|N.v.t.
nd|de
NE|NO
Network Status|Netwerk Status
Never|Nooit
New|Nieuw
New Channel|Nieuw kanaal
New channel|Nieuw kanaal
New Contact|Nieuwe Contactpersoon
New Folder|Nieuwe Map
New Moon|Nieuwe maan
New update available|Nieuwe update beschikbaar
News|Nieuws
News Panel|Nieuws Paneel
News Panel Settings|Nieuws Paneel instellingen
next|volgende
Next Alarm|Volgende alarm
Night|Nacht
No|Nee
no|nee
No Alarms|Geen alarmen
No birthdays|Geen verjaardagen
No calls|Geen oproepen
No Cities|Geen Steden
No conditions|Geen toestanden
No Contacts.|Geen Contactpersonen
No Countries|Geen Landen
No deals loaded|Geen deals geladen
No Images|Geen Afbeeldingen
No messages|Geen berichten
No news|Geen Nieuws
No rise/set info|Geen op- of ondergang info
No RSS feed found at|Geen RSS feed gevonden bij
No rss loaded|Geen RSS geladen
No SIM|Geen SIM-kaart
No text messages|Geen tekst berichten
