 a few seconds|kilka sekund
 day|dzień
 days|dni
 hour|godzina
 hours|godzin
 hr| godz
 hrs|godz
 lunar day| dzień księżycowy
 min|min
 mins| min
 minute|minuta
 minutes|minut
%d bought|%d kupione
%d day|%d dzień
%d days|%d dni
%d hour|%d godzina
%d hours|%d godzin
%d minute|%d minuta
%d minutes|%d minut
%d more...|%d więcej...
%i active channel|%i aktywnego kanału
%i active channels|%i aktywnych kanałów
%i image|%i obrazu
%i images|%i obrazów
%i more today|%i więcej dzisiaj
%i more...|%i pozostało
%i page|%i strony
%i pages|%i stron
%i%% of Full|%i%% z całości
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 min)
(in|(w
(in seconds)|(w sekundach)
(No title)|(Bez nazwy)
[ Loading images... ]|[ Ładowanie obrazów... ]
[ Tap here for images load ]|[ Wybierz obrazy do załadowania ]
A few minutes ago|Kilka minut temu
About|O programie
About SPB Shell 3D|O programie SPB Shell 3D
Above horizon|Nad horyzontem
Accelerometer|Akcelerometr
Activate|Aktywuj
Activation|Aktywacja
Activation failed. Check your Internet connection.|Aktywacja nie powiodła się. Sprawdź swoje połączenie z Internetem.
Active Channels|Aktywne Kanały
Active channels|Aktywne kanały
Add|Dodaj
Add category|Dodaj kategorię
Add channel|Dodaj kanał
Add city|Dodaj miasto
Add custom channel|Dodaj własny kanał
Add new city|Dodaj nowe miasto
Add note|Dodaj notatkę
Add Panel|Dodaj Panel
Add to Home screen|Dodaj do Ekranu Głównego
Airplane|Samolot
Airplane Mode|Tryb Samolotowy
Alcatel Widget|Widget Alcatela
All day|Cały dzień
All pictures|Wszystkie obrazy
Allow resizing of all Android widgets|Zezwalaj na zmianę rozmiaru wszystkich widżetów androidowych
An hour ago|Godzinę temu
Android Shortcut|Skrót Androida
Android Widget|Widget Androida
Anniversary|Rocznica
Appearance|Wygląd
Application|Aplikacja
April|Kwiecień
Aqua|Woda
Aquarius|Wodnik
Aries|Baran
as of %s|od %s
at %s|w %s
atm|atm.
Atmospheres|Atmosfery
Atmospheric pressure scale|Skala ciśnienia atmosferycznego
August|Sierpień
Auto|Automatyczny
Auto (keyboard only)|Automatyczny (tylko klawiatura)
Auto arrange widgets|Autorozmieszczanie widżetów
Automatic|Automatyczny
Automatic naming|Automatyczne nazywanie
Backlight|Podświetlenie
Battery|Bateria
Below horizon|Poniżej horyzontu
Birthday|Urodziny
Birthdays|Urodziny
Black|Czarny
Blue|Niebieski
Bluetooth|Bluetooth
Bookmarks|Ulubione
Bookmarks Folder|Folder Zakładek
Business|Biznes
Buy!|Kup!
Cache size|Rozmiar pamięci podręcznej
Calculator|Kalkulator
Calendar|Kalendarz
Calendar Panel|Panel Kalendarza
Calendar Panel Settings|Ustawienia Panelu Kalendarza
