 a few seconds| alguns segundos
 day| dia
 days| dias
 hour| hora
 hours| horas
 hr| hr
 hrs| hrs
 lunar day| dia lunar
 min| min
 mins| mins
 minute| minuto
 minutes| minutos
%d bought|%d comprado
%d day|%d dia
%d days|%d dias
%d hour|%d hora
%d hours|%d horas
%d minute|%d minuto
%d minutes|%d minutos
%d more...|%d mais...
%i active channel|%i canal activo
%i active channels|%i canais activos
%i image|%i imagem
%i images|%i imagens
%i more today|%i mais hoje
%i more...|mais %i
%i page|%i página
%i pages|%i páginas
%i%% of Full|%i%% da Totalidade
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 min)
(in|(em
(in seconds)|(em segundos)
(No title)|(Sem título)
[ Loading images... ]|[ A carregar imagens... ]
[ Tap here for images load ]|[ Clique aqui para carregar imagens ]
A few minutes ago|Há alguns minutos
About|Sobre
About SPB Shell 3D|Sobre o SPB Shell 3D
Above horizon|Acima do horizonte
Accelerometer|Acelerómtero
Activate|Activar
Activation|Activação
Activation failed. Check your Internet connection.|Activação Falhou. Verifique a sua ligação à Internet.
Active Channels|Canais Activos
Active channels|Canais activos
Add|Adic.
Add category|Adic. Categoria
Add channel|Adic. Canal
Add city|Adicionar Cidade
Add custom channel|Adic. Canal Personalizado
Add new city|Adic. nova cidade
Add note|Adic. Nota
Add Panel|Adic. Painel
Add to Home screen|Adic. ao Ecrã Home
Airplane|Avião
Airplane Mode|Modo Avião
Alcatel Widget|Widget Alcatel
All day|Todo o dia
All pictures|Todas as Imagens
Allow resizing of all Android widgets|Permitir redimensionamento de todos widgets android
An hour ago|Há uma hora
Android Shortcut|Atalho Android
Android Widget|Widget Android
Anniversary|Aniversário
Appearance|Aspecto
Application|Aplicação
April|Abril
Aqua|Aqua
Aquarius|Aquário
Aries|Carneiro
as of %s|em %s.
at %s|em %s.
atm|atm
Atmospheres|Atmosferas
Atmospheric pressure scale|Escala Pressão Atmosférica
August|Agosto
Auto|Auto
Auto (keyboard only)|Auto (apenas teclado)
Auto arrange widgets|Auto arranjar widgets
Automatic|Automático
Automatic naming|Nome automático
Backlight|Luz de Fundo
Battery|Bateria
Below horizon|Abaixo do horizonrte
Birthday|Aniversário
Birthdays|Aniversários
Black|Preto
Blue|Azul
Bluetooth|Bluetooth
Bookmarks|Marcadores
Bookmarks Folder|Pasta Marcadores
Business|Negócio
Buy!|Compre!
Cache size|Tamanho cache
Calculator|Calculadora
Calendar|Calendário
Calendar Panel|Painel Calendário
Calendar Panel Settings|Definições do Painel Calendário
Call|Chamada
Call Log|Registo Chamadas
Cancel|Cancelar
Cancer|Caranguejo
Capricorn|Capricórnio
Categories|Categorias
Category Name|Nome Categoria
Celsius (#short)|Celsius
Change|Alterar
Change City|Mudar cidade
Change profile|Alterar Perfil
Channels list|Lista canais
Choose Alcatel Widget|Escolher Widget Alcatel
Choose Color|Escolher Cor
Choose Program|Escolher Programa
Choose SPB Widget|Escolher Widget SPB
Choose widget|Escolher Widget
Clear|Limpo
Clear cache|Limpar Cache
Clock|Relógio
Cloudy|Nublado
Cloudy, hail|Nublado, granizo
Cloudy, heavy rain|Nublado, chuva forte
Cloudy, heavy snow|Nublado, neve forte
Cloudy, rain|Nublado, chuva
Cloudy, rain with snow|Nublado, chuva com neve
Cloudy, snow|Nublado, neve
Cloudy, thunder|Nublado, trovoada
Color anaglyph (red/cyan)|Estereograma de cor (vermelho/ciano)
Communication|Comunicação
Contact|Contacto
Contact Settings|Definições Contacto
Contact Size|Tamanho Contacto
Contacts|Contactos
Contacts Folder|Pasta Contactos
Copyright %s 2007-2011\nSPB Software|Copyright %s 2007-2011\nSPB Software
Copyright %s 2007-2012\nSPB Software|Copyright %s 2007-2012\nSPB Software
Create Folder|Criar Pasta
Current|Actual
Current city|Cidade actual
Current conditions|Condições Actuais
Current Conditions|Condições Actuais
Current skin|Skin actual
Custom channel|Canal Personalizado
Day|Dia
Deal of the Day|Negócio do Dia
Deal of the Day Panel|Painel Negócio do Dia
Deal of the Day Panel Settings|Def. Painiel Negócio do Dia
Deals|Negócios
December|Dezembro
Default|Pré-definição
Default Action|Acção Pré-definida
Delete note|Apagar Nota
Dew point:|Ponto de orvalho:
Diagnostic tools|Ferramentas de diagnóstico
Disabled|Desactivado
Discoverable|Localizável
Done|Feito
Download Original|Descarregar Original
Downloading images|A descarregar imagnes
E|E
east|este
Edit channel|Editar Canal
Edit Contact|Editar Contacto
Edit note|Editar Nota
Edit panels|Editar paineis
Emergency only|Apenas emergência
Empty Panel|Painel Vazio
Enable live wallpapers|Activar Panos de Fundo Live
Enabled|Activado
Enter RSS feed title|Introd. título feed RSS
Enter RSS feed URL|Introd. URL feed RSS
Entertainment|Entretenimento
Error|Erro
Evening|Tarde
Every 2 hours|A cada 2 horas
Every 24 hours|A cada 24 horas
Every 30 Minutes|A cada 30 minutos
Every 30 minutes|A cada 30 minutos
Every 4 hours|A cada 4 horas
Every hour|A cada hora
Exit|Sair
Experimental|Experimental
Experimental Settings|Definições Experimentais.
Experimental settings|Definições Experimentais
Fahrenheit (#short)|Fahrenheit
Failed to add contact|Falha ao adic. contacto
Failed to load RSS|Falha ao carregar RSS
Failed to load the selected contact. Try to link the contact to Google account or save it to phone.|Falha ao carregar o contacto seleccionado. Tente ligar o contacto à conta do Google ou guardá-lo no telefone.
Favorite Contacts|Contactos Favoritos
Favorite contacts|Contactos favoritos
Favorites|Favoritos
February|Fevereiro
Filter|Filtro
First day of the week|Primeiro dia da semana
First Quarter|Quarto Crescente
Flight|Vôo
Folder|Pasta
Folder Name|Nome da Pasta
Forecast|Previsão
from forecast|da previsão
Full Moon|Lua cheia
Gallery|Galeria
Games|Jogos
Gemini|Gémeos
Gravity|Gravidade
Grayscale anaglyph (red/cyan)|Estereograma escala cinza (vermelho/ciano)
Green|Verde
G-Sensor|Sensor-G
Half an hour ago|Há meia hora
Hectopascals|hectopascais
Hide Duplicates|Ocultar Duplicados
Hide SIM Contacts|Esconder contactos SIM
Home|Home
Home Settings|Definições Home
Home settings|Definições Home
hpa|hpa
Humidity:|Humidade
in %u days|em %u dias
in Home Settings|em Definições Home
inch|polegadas
Inches|Polegadas
Increase Counter|Aumentar Contador
Interface mode|Modo Interface
Invisible|Invisível
January|Janeiro
July|Julho
June|Junho
Kilometers per hour|Quilómetros por hora
Knots|Nós
knots|nós
kph|kph
kts|nós
Landscape|Paisagem
Landscape orientation required to enable left-to-right stereo mode|É necessária a orientação de paisagem para activar o modo stereo direita-para-esquerda
Large|Grande
Last Call|Última Chamada
Last Message|Última Mensagem
Last Quarter|Quarto Minguante
Last updated|Última actualização
Left-to-right (HTC EVO 3D)|Esquerda-para-direita (HTC EVO 3D)
Legal information|Informação Legal
Legal notices|Avisos Legais
Leo|Leão
Libra|Balança
Lifestyle|Lifestyle
Live wallpapers can cause performance degradation of your 3D home screen. Switching between live and static wallpapers can take up to a minute. Static wallpapers are recommended for the best experience.|Os panos de fundo live podem degradar o desempenho do seu ecrã home 3D. Mudando de panos de fundo live para estáticos pode demorar até um minuto. Os panos de fundo estáticos são recomendados para uma melhor experiência.
Loading failed|Falha ao Carregar
Loading image for wallpaper|A carregar imagem para pano de fundo
Loading RSS feed %s...|A carregar feed RSS %s...
