 a few seconds| câteva sec.
 day| zi
 days| zile
 hour| oră
 hours| ore
 hr| oră
 hrs|ore
 lunar day| ziua lunară
 min|min
 mins|min
 minute| minut
 minutes|minute
%d bought|%d cumpărat
%d day|%d zi
%d days|%d zile
%d hour|%d oră
%d hours|%d ore
%d minute|%d minut
%d minutes|%d minute
%d more...|%d mai mult...
%i active channel|%i canal activ
%i active channels|%i canale active
%i image|%i imagine
%i images|%i imagini
%i more today|încă %i azi
%i more...|încă %i ...
%i page|%i pagină
%i pages|%i pagini
%i%% of Full|%i%% din lună plină
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 min)
(in|(în
(in seconds)|(ăn secunde)
(No title)|(Fără titlu)
[ Loading images... ]|[ Încărcare imagini... ]
[ Tap here for images load ]|[ Apăsaţi aici pentru încărcare imagini ]
A few minutes ago|Cateva minute în urmă
About|Despre
About SPB Shell 3D|Despre SPB Shell 3D
Above horizon|Peste orizont
Accelerometer|Accelerometru
Activate| Activare
Activation|Activare
Activation failed. Check your Internet connection.|Activare eşuată. Verificaţi conexiunea la internet.
Active Channels|Canale active
Active channels|Canale active
Add|Adăugare
Add category|Adaugă categorie
Add channel|Adaugă canal
Add city|Adaugă oraş
Add custom channel|Adaugă un canal personalizat
Add new city|Adaugă oraș
Add note|Adaugă notă
Add Panel|Adaugă panou
Add to Home screen|Adaugă la ecranul Acasă
Airplane|Avion
Airplane Mode|Mod avion
All day|Toată ziua
All pictures|Toate imaginile
An hour ago|Cu o oră în urmă
Android Shortcut|Scurtătură Android
Android Widget|Android Widget
Anniversary|Aniversare
Appearance|Aparență
Application|Aplicaţie
April|Aprilie
Aqua|Cyan
Aquarius|Pești
Aries|Berbec
as of %s|ca %s
at %s|la %s
atm|atm
Atmospheres|Atmosfere
Atmospheric pressure scale|Scala presiune atmosferică
August|August
Auto|Automat
Auto (keyboard only)|Auto (doar tastatura)
Auto arrange widgets|Auto aranjare widget
Automatic|Automat
Automatic naming|Denumire automată
Backlight|Lumină fundal
Battery|Baterie
Below horizon|Sub orizont
Birthday|Zi de naştere
Birthdays|Zile de naştere
Black|Negru
Blue|Albastru
Bluetooth|Bluetooth
Bookmarks|Marcaje
Bookmarks Folder|Folder marcaje
Business|Business
Buy!|Cumpară!
Calculator|Calculator
Calendar|Calendar
Calendar Panel|Panou calendar
Calendar Panel Settings|Setări panou Calendar
Call|Apel
Call Log|Jurnal Apeluri
Cancel|Anulare
Cancer|Rac
Capricorn|Capricorn
Categories|Categorii
Category Name|Nume categorie
Celsius (#short)|Celsius
Change|Schimbă
Change City|Schimbă oraş
Change profile|Schimbă profil
Channels list|Listă canale
Choose Color|Alege culoarea
Choose Program|Alege program
Choose SPB Widget|Alege widget SPB
Choose widget|Alege widget
Clear|Senin
Clock|Ceas
Cloudy|Noros
Cloudy, hail|Noros, grindină
Cloudy, heavy rain|Noros, ploaie torenţială
Cloudy, heavy snow|Noros, ninsoare abundentă
Cloudy, rain|Noros, ploaie
Cloudy, rain with snow|Noros, lapoviţă
Cloudy, snow|Noros, ninsoare
Cloudy, thunder|Noros, fulgere
Color anaglyph (red/cyan)|Anaglyph color (rosu/bleu)
Communication|Comunicaţii
Contact|Contact
Contacts|Contacte
Contacts Folder|Dosar contacte
Copyright %s 2007-2011\nSPB Software|Copyright %s 2007-2011\nSPB Software
Copyright %s 2007-2012\nSPB Software|Copyright %s 2007-2012\nSPB Software
Create Folder|Crează folder
Current|Curent
Current city|Oraş curent
Current conditions|Condiţii curente
Current Conditions|Condiţii curente
Current skin|Faţetă curentă
Day|zi
Deal of the Day|Oferta zilei
Deal of the Day Panel Settings|Setări oferta zilei
Deals|Ofertă
December|Decembrie
Default|Implicit
Default Action|Acţiune implicită
Delete note|Şterge nota
Dew point:|Punctul de rouă:
Diagnostic tools|Unelte diagnostic
Disabled|Dezactivat
Discoverable|Vizibil
Done|OK
Download Original|Descarcă Original
Downloading images|Descărcare imagini
E|e
east|est
Edit channel|Editează canal
Edit Contact|Editează contact
Edit note|Editează nota
Edit panels|Editeză panou
Emergency only|Doar urgenţe
Empty Panel|Panou gol
Enable live wallpapers|Activare wallpaper live
Enabled|Activat
