 a few seconds| nekaj sekund
 day| dan
 days| dni
 hour| h
 hours| h
 hr| h
 hrs| h
 lunar day| lunin dan
 min| min
 mins| min
 minute| min
 minutes| min
%d bought|%d kupljenih
%d day|%d dan
%d days|%d dni
%d hour|%d h
%d hours|%d h
%d minute|%d min
%d minutes|%d min
%d more...|%d več ...
%i active channel|%i aktiven kanal
%i active channels|%i aktivnih kanalov
%i image|%i slika
%i images|%i slik
%i more today|%i več danes
%i more...|%i več ...
%i page|%i stran
%i pages|%i strani
%i%% of Full|%i% % polna
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 min)
(in|(čez
(in seconds)|(v sekundah)
(No title)|(ni naslova)
[ Loading images... ]|[ Nalaganje slik ... ]
[ Tap here for images load ]|[ Tapnite sem, če želite naložiti slike ]
A few minutes ago|Pred nekaj minutami
About|Vizitka
Above horizon|Nad obzorjem
Activate|Aktiviraj
Activation|Aktivacija
Activation failed. Check your Internet connection.|Aktivacija ni uspela. Preverite svojo spletno povezavo.
Active Channels|Aktivni kanali
Active channels|Aktivni kanali
Add|Dodaj
Add category|Dodaj kategorijo
Add city|Dodaj mesto
Add custom channel|Dodaj kanal po meri
Add new city|Dodaj novo mesto
Add note|Dodaj beležko
Add Panel|Dodaj okno
Add to Home screen|Dodaj na začetni zaslon
Airplane|Letalo
Airplane Mode|Način leta
All day|Cel dan
All pictures|Vse slike
Allow resizing of all Android widgets|Omogoči spreminjanje velikosti vseh Androidovih gradnikov
An hour ago|Pred eno uro
Android Shortcut|Androidova bližnjica
Android Widget|Androidov gradnik
Anniversary|Obletnica
Appearance|Videz
Application|Aplikacija
April|April
Aqua|Voda
Aquarius|Vodnar
Aries|Oven
as of %s|od %s
at %s|na %s
atm|atm
Atmospheres|Atmosfere
Atmospheric pressure scale|Lestvica atmosferskega tlaka
August|Avgust
Auto|Samodejno
Auto (keyboard only)|Samodejno (samo tipkovnica)
Auto arrange widgets|Samodejna postavitev gradnikov
Automatic|Samodejno
Automatic naming|Samodejno poimenovanje
Backlight|Osvetlitev ozadja
Battery|Baterija
Below horizon|Pod obzorjem
Birthday|Rojstni dan
Birthdays|Rojstni dnevi
Black|Črna
Blue|Modra
Bluetooth|Bluetooth
Bookmarks|Zaznamki
Bookmarks Folder|Mapa zaznamkov
Business|Poslovno
Buy!|Kupi!
Cache size|Velikost predpomnilnika
Calculator|Računalo
Calendar|Koledar
Calendar Panel|Okno koledarja
Calendar Panel Settings|Nastavitve okna koledarja
Call|Klic
Call Log|Seznam klicev
Cancel|Prekliči
Cancer|Rak
Capricorn|Kozorog
Categories|Kategorije
Category Name|Ime kategorije
Celsius (#short)|Celzijev
Change|Spremeni
Change City|Spremeni mesto
Change profile|Spremeni profil
Channels list|Seznam kanalov
Choose Color|Izberi barvo
Choose Program|Izberi program
Choose SPB Widget|Izberite gradnik SPB
Choose widget|Izberi gradnik
Clear|Jasno
Clear cache|Počisti predpomnilnik
Clock|Ura
Cloudy|Oblačno
Cloudy, hail|Oblačno, toča
Cloudy, heavy rain|Oblačno, močan dež
Cloudy, heavy snow|Oblačno, možno sneženje
Cloudy, rain|Oblačno, dež
Cloudy, rain with snow|Oblačno, dež s snegom
Cloudy, snow|Oblačno, sneg
Cloudy, thunder|Oblačno, grmenje
Color anaglyph (red/cyan)|Barvno anaglifno (rdeča/modrozelena)
Communication|Komunikacija
Contact|Stik
Contacts|Stiki
Contacts Folder|Mapa stikov
Copyright %s 2007-2011\nSPB Software|Avtorske pravice %s 2007-2011\nSPB Software
Copyright %s 2007-2012\nSPB Software|Avtorske pravice %s 2007-2012\nSPB Software
Create Folder|Ustvari mapo
Current|Trenutno
Current city|Trenutno mesto
Current conditions|Trenutne razmere
Current Conditions|Trenutne razmere
Current skin|Trenutna preobleka
Day|Dan
Deal of the Day|Ponudba dneva
Deal of the Day Panel|Okno za ponudbo dneva
Deal of the Day Panel Settings|Nastavitve okna s ponudbami dneva
Deals|Ponudbe
December|December
Default|Privzeto
Delete note|Izbriši beležko
Dew point:|Rosišče:
Diagnostic tools|Diagnostična orodja
Disabled|Onemogočeno
Discoverable|Omogočeno odkrivanje
Done|Dokončano
Download Original|Prenesi izvirnik
Downloading images|Poteka prenos slik
E|V
east|vzhod
