 a few seconds| några sekunder
 day| dag
 days| dagar
 hour| timme
 hours| timmar
 hr| t
 hrs|tim.
 lunar day| måndygn
 min| min.
 mins| min.
 minute| minut
 minutes| minuter
%d bought|%d köpt
%d day|%d dag
%d days|%d dagar
%d hour|%d timme
%d hours|%d timmar
%d minute|%d minut
%d minutes|%d minuter
%d more...|%d mer...
%i active channel|%i aktiv kanal
%i active channels|%i aktiva kanaler
%i image|%i bild
%i images|%i bilder
%i more today|%i fler idag
%i more...|%i fler...
%i page|%i sida
%i pages|%i sidor
%i%% of Full|%i%% av full
%s 2007—2011 Yandex|%s 2007-2011 Yandex
(<1 min)|(<1 min)
(in|(i
(in seconds)|(i sekunder)
(No title)|(Ingen titel)
[ Loading images... ]|[ Laddar bilder... ]
[ Tap here for images load ]|[ Tryck här för att ladda bilder ]
A few minutes ago|För några minuter sedan
About|Om
About SPB Shell 3D|Om SPB Shell 3D
Above horizon|Ovanför horisonten
Accelerometer|Accelerometer
Activate|Aktivera
Activation|Aktivering
Activation failed. Check your Internet connection.|Aktiveringen misslyckades. Kontrollera din internetanslutning.
Active Channels|Aktiva kanaler
Active channels|Aktiva kanaler
Add|Lägg till
Add category|Lägg till kategori
Add channel|Lägg till kanal
Add city|Lägg till stad
Add custom channel|Lägg till egendefinierad kanal
Add new city|Lägg till ny stad
Add note|Lägg till anteckning
Add Panel|Lägg till panel
Add to Home screen|Lägg till på hemskärmen
Airplane|Flygplan
Airplane Mode|Flygplansläge
Alcatel Widget|Alcatel Widget
All day|Heldag
All pictures|Alla bilder
Allow resizing of all Android widgets|Tillåt storleksförändring av widgetar
An hour ago|För en timme sedan
Android Shortcut|Android-genväg
Android Widget|Android-widget
Anniversary|Jubileum
Appearance|Utseende
Application|Applikation
April|April
Aqua|Aqua
Aquarius|Vattumannen
Aries|Väduren
as of %s|fr.o.m. %s
at %s|vid %s
atm|atm
Atmospheres|Atmosfärer
Atmospheric pressure scale|Atmosfärisk tryckskala
August|Augusti
Auto|Auto
Auto (keyboard only)|Auto (endast tangentbord)
Auto arrange widgets|Arrangera widgetar automatiskt
Automatic|Automatiskt
Automatic naming|Automatiskt namn
Backlight|Bakgrundsljus
Battery|Batteri
Below horizon|Under horisonten
Birthday|Födelsedag
Birthdays|Födelsedagar
Black|Svart
Blue|Blå
Bluetooth|Bluetooth
Bookmarks|Bokmärken
Bookmarks Folder|Mapp för favoriter
Business|Business
Buy!|Köp!
Cache size|Cachestorlek
Calculator|Miniräknare
Calendar|Kalender
Calendar Panel|Kalenderpanel
Calendar Panel Settings|Inställningar för kalenderpanel
Call|Ring
Call Log|Samtalslogg
Cancel|Avbryt
Cancer|Kräftan
Capricorn|Stenbocken
Categories|Kategorier
Category Name|Kategorinamn
Celsius (#short)|Celsius (°C)
Change|Ändra
Change City|Byt stad
Change profile|Byt profil
Channels list|Kanallista
Choose Alcatel Widget|Välj Alcatel Widget
Choose Color|Välj färg
Choose Program|Välj program
Choose SPB Widget|Välj SPB Widget
Choose widget|Välj widget
Clear|Molnfritt
Clear cache|Rensa cache
Clock|Klocka
Cloudy|Mulet
Cloudy, hail|Mulet, hagel
Cloudy, heavy rain|Mulet, kraftigt regn
Cloudy, heavy snow|Mulet, kraftigt snöfall
Cloudy, rain|Mulet, regn
Cloudy, rain with snow|Mulet, snöblandat regn
Cloudy, snow|Mulet, snöfall
Cloudy, thunder|Mulet, åska
Color anaglyph (red/cyan)|Färganaglyf (röd/cyan)
Communication|Kommunikation
Contact|Kontakt
Contact Settings|Kontaktinställningar
Contact Size|Kontaktstorlek
Contacts|Kontakter
Contacts Folder|Kontaktfolder
Copyright %s 2007-2011\nSPB Software|Copyright %s 2007-2011\nSPB Software
Copyright %s 2007-2012\nSPB Software|Copyright %s 2007-2012\nSPB Software
Create Folder|Skapa mapp
Current|Nuvarande
Current city|Aktuell stad
Current conditions|Aktuella förhållanden
Current Conditions|Aktuella förhållanden
Current skin|Nuvarande skal
Custom channel|Egendefinierad kanal
Day|Dag
Deal of the Day|Dagens erbjudande
Deal of the Day Panel|Panel för dagens erbjudande
Deal of the Day Panel Settings|Inställningar för Dagens erbjudande
Deals|Erbjudanden
December|December
Default|Standard
Default Action|Standardhändelse
Delete note|Radera anteckning
Dew point:|Daggpunkt:
Diagnostic tools|Diagnosverktyg
Disabled|Avaktiverad
Discoverable|Synlig
Done|Klar
Download Original|Ladda ner orginal
Downloading images|Laddar ner bilder
E|Ö
east|öster
