 a few seconds|2-3 วินาที
 day|วัน
 days|วัน
 hour|ชั่วโมง
 hours|ชั่วโมง
 hr|ชม.
 hrs|ชม.
 lunar day|วันพระจันทร์
 min|น.
 mins|นาที
 minute|นาที
 minutes|นาที
%d bought|ซื้อ %d
%d day|%d วัน
%d days|%d วัน
%d hour|%d ชม.
%d hours|%d ชม.
%d minute|%d นาที
%d minutes|%d นาที
%d more...|อีก %d...
%i active channel|ใช้งานได้ %i ช่อง
%i active channels|ใ้ช้งาน %i ช่อง
%i image|%i รูป
%i images|%i รูป
%i more today|วันนี้อีก %i
%i more...|อีก %i...
%i page|%i หน้า
%i pages|%i หน้า
%i%% of Full|%i%% ของทั้งหมด
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 นาที)
(in|(ใน
(in seconds)|(ในไม่กี่วินาที)
(No title)|(ไม่มีชื่อ)
[ Loading images... ]|[ กำลังโหลดรูป... ]
[ Tap here for images load ]|[ แตะที่นี่เพื่อโหลดรูป ]
A few minutes ago|ไม่กี่นาทีที่แล้ว
About|เกี่ยวกับโปรแกรม
About SPB Shell 3D|เกี่ยวกับ SPB Shell 3D
Above horizon|เหนือเส้น
Accelerometer|Accelerometer
Activate|เปิดใช้งาน
Activation|การเปิดใช้งาน
Activation failed. Check your Internet connection.|การเปิดใช้งานล้มเหลว กรุณาตรวจสอบการเชื่อมต่ออินเทอร์เน็ต
Active Channels|ใช้งานช่องรายการ
Active channels|ใช้งานช่องรายการ
Add|เพิ่ม
Add category|เพิ่มหมวด
Add channel|เพิ่มช่องรายการ
Add city|เพิ่มเมือง
Add custom channel|เพิ่มช่องกำหนดเอง
Add new city|เพิ่มเมืองใหม่
Add note|เพิ่มบันทึกย่อ
Add Panel|เพิ่มพาเนล
Add to Home screen|เพิ่มลงโฮมสกรีน
Airplane|เครื่องบิน
Airplane Mode|โหมดเครื่องบิน
Alcatel Widget|วิดเจ็ท Alcatel
All day|ทั้งวัน
All pictures|ทุกภาพ
Allow resizing of all Android widgets|อนุญาติให้ทุกวิดเจ็ทเปลี่ยนขนาดได้
An hour ago|ไม่กี่ชั่วโมงที่แล้ว
Android Shortcut|ทางลัด Android
Android Widget|วิดเจ็ท Android
Anniversary|วันครบรอบ
Appearance|การแสดงผล
Application|โปรแกรม
April|เมษายน
Aqua|น้ำ
Aquarius|กลุ่มดาวกุมภ์
Aries|กลุ่มดาวเมษ
as of %s|ของ %s
at %s|ที่ %s
atm|atm
Atmospheres|ชั้นบรรยากาศ
Atmospheric pressure scale|หน่วยวัดความดันอากาศ
August|สิงหาคม
Auto|อัตโนมัติ
Auto (keyboard only)|อัตโนมัติ (คีย์บอร์ดเท่านั้น)
Auto arrange widgets|เรียงวิดเจ็ทอัตโนมัติ
Automatic|อัตโนมัติ
Automatic naming|ตั้งชื่ออัตโนมัติ
Backlight|ไฟหน้าจอ
Battery|แบตเตอรี่
Below horizon|ใต้เส้น
Birthday|วันเกิด
Birthdays|วันเกิด
Black|สีดำ
Blue|สีน้ำเงิน
Bluetooth|บลูทูธ
Bookmarks|คั่นหน้า
Bookmarks Folder|โฟลเดอร์โปรด
Business|ชั้นธุรกิจ
Buy!|ซื้อ!
Cache size|ขนาดข้อมูลแคช
Calculator|เครื่องคิดเลข
Calendar|ปฏิทิน
Calendar Panel|พาเนลปฏิทิน
Calendar Panel Settings|ตั้งค่าพาเนลปฏิทิน
Call|โทร
Call Log|รายการโทร
Cancel|ยกเลิก
Cancer|กลุ่มดาวกรกฎ
Capricorn|กลุ่มดาวมังกร
Categories|หมวด
Category Name|ชื่อหมวด
Celsius (#short)|เซลเซียส
