 a few seconds|birkaç saniye
 day|gün
 days|günler
 hour|saat
 hours|saatler
 hr| sa
 hrs|saat
 lunar day| ay günü
 min| dk
 mins| dk
 minute|dakika
 minutes|dakikalar
%d bought|%d satın alındı
%d day|%d gün içinde
%d days|%d gün içinde
%d hour|%d saat içinde
%d hours|%d saat içinde
%d minute|%d dakika içinde
%d minutes|%d dakika içinde
%d more...|%d daha fazla...
%i active channel|%i aktif kanal
%i active channels|%i aktif kanal
%i image|%i görüntü
%i images|%i görüntü
%i more today|%i daha var bugün
%i more...|%i daha...
%i page|%i sayfa
%i pages|%i sayfa
%i%% of Full|Tam'ın %i%%
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 dak)
(in|(içinde
(in seconds)|(saniye içinde)
(No title)|(Başlık yok)
[ Loading images... ]|[ Görüntü yükleniyor... ]
[ Tap here for images load ]|[ Görüntünün yüklenmesi için tıklayın ]
A few minutes ago|Bir kaç dakika önce
About|Hakkında
About SPB Shell 3D|SPB Shell 3D Hakkında
Above horizon|Yatay üzeri
Accelerometer|Hız Ölçer
Activate|Etkinleştir
Activation|Etkinleştirme
Activation failed. Check your Internet connection.|Etkinleştirme başarısız oldu. İnternet bağlantınızı kontrol edin.
Active Channels|Aktif Kanallar
Active channels|Aktif kanallar
Add|Ekle
Add category|Kategori ekle
Add channel|Kanal ekle
Add city|Şehir ekle
Add custom channel|Özel kanal ekle
Add new city|Yeni şehir ekle
Add note|Not ekle
Add Panel|Panel Ekle
Add to Home screen|Giriş Ekranına Ekle
Airplane|Uçak
Airplane Mode|Uçuş Modu
Alcatel Widget|Alcatel Widget
All day|Tüm gün
All pictures|Tüm resimler
Allow resizing of all Android widgets|Tüm adroid widgetların yeniden boyutlandırılmasına izin ver
An hour ago|Bir saat önce
Android Shortcut|Android Kısayol
Android Widget|Android Widget
Anniversary|Yıldönümü
Appearance|Görünüm
Application|Uygulama
April|Nisan
Aqua|Açık Mavi
Aquarius|Kova
Aries|Koç
as of %s|%s olarak
at %s|%s'de
atm|atm
Atmospheres|Atmosfer
Atmospheric pressure scale|Atmosfer basınç ölçer
August|Ağustos
Auto|Otomatik
Auto (keyboard only)|Otomatik (sadece klavye)
Auto arrange widgets|Pencere öğelerini otomatik düzenle
Automatic|Otomatik
Automatic naming|Otomatik adlandırma
Backlight|Fon ışığı
Battery|Batarya
Below horizon|Yatay altı
Birthday|Doğum Günü
Birthdays|Doğum Günleri
Black|Siyah
Blue|Mavi
Bluetooth|Bluetooth
Bookmarks|Yer imleri
Bookmarks Folder|Yer imleri Klasörü
Business|İş
Buy!|Satın Al!
Cache size|Önbellek boyutu
Calculator|Hesap makinesi
Calendar|Takvim
Calendar Panel|Takvim Paneli
