 a few seconds| кілька секунд
 day| день
 days| дні
 hour| година
 hours| години
 hr| год.
 hrs| год.
 lunar day| місячний день
 min| хв.
 mins| хвилин
 minute| хвилина
 minutes| хвилини
%d bought|%d куплено
%d day|%d день
%d days|%d днів
%d hour|%d година
%d hours|%d годин(и)
%d minute|%d хвилина
%d minutes|%d хвилин(и)
%d more...|%d більше...
%i active channel|%i активних каналів
%i active channels|%i активних каналів
%i image|%i зображення
%i images|%i зображень
%i more today|%i ще сьогодні
%i more...|%i ще...
%i page|%i сторінка
%i pages|%i сторінок
%i%% of Full|%i%% фази місяця
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 хвилини)
(in|(через
(in seconds)|(в секундах)
(No title)|(Заголовок відсутній)
[ Loading images... ]|[ Завантаження зображень... ]
[ Tap here for images load ]|[ Натисніть тут для завантаження зображення ]
A few minutes ago|Кілька хвилин тому
About|Про
Above horizon|Над горизонтом
Activate|Активувати
Activation|Активація
Activation failed. Check your Internet connection.|Помилка активації Перевірте підключення до Інтернету.
Active Channels|Активні канали
Active channels|Активні канали
Add|Додати
Add category|Додати категорію
Add city|Додати місто
Add custom channel|Додати користувацький канал
Add new city|Додати нове місто
Add note|Додати примітку
Add Panel|Додати панель
Add to Home screen|Додати на робочий стіл
Airplane|Літак
Airplane Mode|Режим На борту літака
All day|Весь день
All pictures|Всі зображення
Allow resizing of all Android widgets|Дозволяє змінювати розмір всіх віджетів андроїд
An hour ago|Годину тому
Android Shortcut|Ярлик Android
Android Widget|Віджет Android
Anniversary|Ювілей
Appearance|Зовнішній вигляд
Application|Застосунок
April|квітень
Aqua|блакитний
Aquarius|Водолій
Aries|Овен
as of %s|на %s
at %s|в %s
atm|атм
Atmospheres|Атмосфери
Atmospheric pressure scale|Шкала атмосферного тиску
August|серпень
Auto|Авто
Auto (keyboard only)|Авто (лише клавіатура)
Auto arrange widgets|Автоматично впорядкувати віджети
Automatic|Автоматично
Automatic naming|Автоматичне присвоювання назв
Backlight|Підсвічування
Battery|Акумулятор
Below horizon|Нижче горизонту
Birthday|День народження
Birthdays|Дні народження
Black|Чорний
Blue|Синій
Bluetooth|Bluetooth
Bookmarks|Закладки
Bookmarks Folder|Папка закладок
Business|Бізнес
Buy!|Купити!
Cache size|Розмір кеш- пам’яті
Calculator|Калькулятор
Calendar|Календар
Calendar Panel|Панель календаря
Calendar Panel Settings|Налаштунки панелі календаря
Call|Виклик
Call Log|Журнал викликів
Cancel|Відмінити
Cancer|Рак
Capricorn|Козерог
Categories|Категорії
Category Name|Назва категорії
Celsius (#short)|За Цельсієм
Change|Змінити
Change City|Змінити місто
Change profile|Змінити профіль
Channels list|Список каналів
Choose Color|Обрати колір
Choose Program|Обрати програму
Choose SPB Widget|Обрати віджет SPB
Choose widget|Обрати віджет
Clear|Ясно
Clear cache|Почистити кеш
Clock|Годинник
Cloudy|Хмарно
Cloudy, hail|Хмарно, град
Cloudy, heavy rain|Хмарно, злива
Cloudy, heavy snow|Хмарно, снігопад
Cloudy, rain|Хмарно, дощ
Cloudy, rain with snow|Хмарно, мокрий сніг
Cloudy, snow|Хмарно, сніг
Cloudy, thunder|Хмарно, гроза
Color anaglyph (red/cyan)|Кольоровий анагліф (червоний/ціан)
Communication|Спілкування
Contact|Контакт
Contacts|Контакти
Contacts Folder|Папка контактів
Copyright %s 2007-2011\nSPB Software|Авторське право %s 2007-2011\nSPB Software
Copyright %s 2007-2012\nSPB Software|Авторське право %s 2007-2012\nSPB Software
Create Folder|Створити папку
Current|Поточний
Current city|Поточне місто
Current conditions|Поточний стан
Current Conditions|Поточний стан
Current skin|Поточна обкладинка
Custom channel|Користувацький канал
Day|День
Deal of the Day|Угода дня
Deal of the Day Panel|Панель угоди дня
Deal of the Day Panel Settings|Налаштунки панелі Угода дня
Deals|Угоди
December|грудень
Default|Значення за промовчанням
Delete note|Видалити примітку
Dew point:|Точка роси:
Diagnostic tools|Діагностичні інструменти
Disabled|Вимкнений
Discoverable|Доступний для виявлення
Done|Виконано
Download Original|Завантажити оригінал
Downloading images|Завантаження зображення
E|С
east|схід
Edit channel|Редагувати канал
Edit note|Редагувати примітки
Edit panels|Редагувати панелі
Emergency only|Лише екстрені виклики
Empty Panel|Пуста панель
Enable live wallpapers|Увімкнути шпалери, що оновлюються автоматично
Enabled|Увімкнений
Enter RSS feed title|Введіть назву RSS-канала
Enter RSS feed URL|Введіть URL RSS-канала
Entertainment|Розваги
Error|Помилка
Evening|Вечір
Every 2 hours|Кожні 2 години
Every 24 hours|Кожні 24 години
Every 30 Minutes|Кожні 30 хвилин
Every 30 minutes|Кожні 30 хвилин
